analysis_name,n_samples,reference_n,exposed_n,design_rank,design_columns,tested_genes,fdr_0_05_genes,up_fdr_0_05,down_fdr_0_05,common_dispersion,median_tagwise_dispersion,panel,source_table,rank_cutoff,mitochondrial_fraction,ribosomal_fraction,hemoglobin_fraction,immunoglobulin_fraction,program_id,program_label,analysis_family,publication_role,positive_available,positive_total,negative_available,negative_total,availability_pass,effect,se_hc3,ci_low,ci_high,statistic,df,p_value,q_value_primary4,label
primary_base,89.0,43.0,46.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4414.0,282.0,158.0,124.0,0.0460360285110282,0.0338195922708582,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
primary_min20,94.0,44.0,50.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4098.0,252.0,126.0,126.0,0.0474305603941241,0.0338642278010116,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
primary_min100,87.0,41.0,46.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4524.0,260.0,139.0,121.0,0.0456210371727421,0.0336416385975845,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
primary_residual_risk_negative,89.0,43.0,46.0,4.0,intercept;is_managed;age_centered;ethnicity_asian,4432.0,289.0,155.0,134.0,0.0462353743608245,0.0341966332447168,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
validation_full,64.0,21.0,43.0,3.0,intercept;is_managed;age_centered,6099.0,157.0,134.0,23.0,0.0476859507333436,0.0364459922266838,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
validation_nonoverlap,54.0,21.0,33.0,3.0,intercept;is_managed;age_centered,6077.0,189.0,156.0,33.0,0.0460060871926438,0.0356567335401363,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
flare_full,34.0,18.0,16.0,4.0,intercept;is_flare;age_centered;ethnicity_european,7761.0,289.0,177.0,112.0,0.0339424206352114,0.0261747376781166,a/b,model_summary,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,c,ranked_qc,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,c,ranked_qc,100.0,0.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,c,ranked_qc,500.0,0.004,0.078,0.0,0.0,,,,,,,,,,,,,,,,,,
primary_base,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85.0,7.44251044920975e-07,2.9770041796839e-06,Primary
primary_min20,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.813036553044015,0.142914204634987,0.529112541190759,1.09696056489727,5.68898350671699,90.0,1.57232627837433e-07,6.2893051134973e-07,>=20
primary_min100,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.82047074281059,0.157815623429612,0.506581815125822,1.13435967049536,5.19891963153147,83.0,1.41469582523081e-06,5.65878330092322e-06,>=100
primary_residual_risk_negative,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.842077408429252,0.155831511129362,0.532242615877062,1.15191220098144,5.40376848255171,85.0,5.86096623653871e-07,2.34438649461548e-06,Risk-negative
validation_full,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.856126196501275,0.250993958171508,0.354232758050295,1.35801963495225,3.41094344556402,61.0,0.0011537934351061,0.0046151737404247,Internal
validation_nonoverlap,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.08624050109214,0.255417464264537,0.573468545179428,1.59901245700485,4.25280434217729,51.0,9.01319089523746e-05,0.0003605276358094,Nonoverlap
flare_full,,,,,,,,,,,,d,ifn_program_results,,,,,,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.36830280496755,0.313078574091041,0.728911056443348,2.00769455349175,4.37047731209372,30.0,0.0001367549204342,0.0005470196817369,Flare
