policy,replicates,n_states,median_mapped_ari,minimum_mapped_ari,median_mapping_agreement,minimum_mapping_agreement,maximum_absolute_reconstruction_delta,minimum_state_median_jaccard,minimum_state_minimum_jaccard,panel,source_table,reference_state,median_jaccard,minimum_jaccard,median_recall,reference_cluster,mapped_reference_cluster,fraction_of_reference_cluster,minimum_recall
five_state,20.0,5.0,0.88025846129991,0.3515652858292529,0.9633103390957448,0.7840342420212766,1.1102230246251563e-16,0.4547359605108977,0.0,a,policy_summary,,,,,,,,
four_state_platelet_overlay_merged,20.0,4.0,0.8998827476719911,0.3376965588701118,0.9731798537234042,0.7935339095744681,1.1102230246251563e-16,0.8054131862784851,0.0,a,policy_summary,,,,,,,,
three_state_identity_core,20.0,3.0,0.9002473450764503,0.3248987221875242,0.9743475731382978,0.7948886303191489,1.1102230246251563e-16,0.9254424344499924,0.3885116717054071,a,policy_summary,,,,,,,,
two_compartment_asc_vs_conventional,20.0,2.0,0.9955532945978536,0.9902066569784328,0.9999251994680852,0.9998337765957448,,0.9913709736725989,0.9810964083175804,a,policy_summary,,,,,,,,
five_state,,,,,,,,,,b,policy_cluster_summary,0.0,0.9466479257513264,0.7063702977449817,0.9813186099935728,,,,
five_state,,,,,,,,,,b,policy_cluster_summary,1.0,0.9254424344499924,0.3885116717054071,0.9554282114541186,,,,
five_state,,,,,,,,,,b,policy_cluster_summary,2.0,0.4547359605108977,0.0,0.949512089717992,,,,
five_state,,,,,,,,,,b,policy_cluster_summary,3.0,0.9913709736725989,0.9810964083175804,0.9971125414082128,,,,
five_state,,,,,,,,,,b,policy_cluster_summary,4.0,0.8054131862784851,0.0,0.8596917834419928,,,,
four_state_platelet_overlay_merged,,,,,,,,,,b,policy_cluster_summary,0.0,0.9606991879190676,0.7194457007889844,0.9838644851328664,,,,
four_state_platelet_overlay_merged,,,,,,,,,,b,policy_cluster_summary,1.0,0.9254424344499924,0.3885116717054071,0.9554282114541186,,,,
four_state_platelet_overlay_merged,,,,,,,,,,b,policy_cluster_summary,3.0,0.9913709736725989,0.9810964083175804,0.9971125414082128,,,,
four_state_platelet_overlay_merged,,,,,,,,,,b,policy_cluster_summary,4.0,0.8054131862784851,0.0,0.8596917834419928,,,,
three_state_identity_core,,,,,,,,,,b,policy_cluster_summary,0.0,0.9620168651593884,0.723348804884708,0.9839406950975944,,,,
three_state_identity_core,,,,,,,,,,b,policy_cluster_summary,1.0,0.9254424344499924,0.3885116717054071,0.9554282114541186,,,,
three_state_identity_core,,,,,,,,,,b,policy_cluster_summary,3.0,0.9913709736725989,0.9810964083175804,0.9971125414082128,,,,
,,,,,,,,,,c,mean_reference_transitions,,,,,0.0,0.0,0.9655690517676279,
,,,,,,,,,,c,mean_reference_transitions,,,,,0.0,1.0,0.02767262337033304,
,,,,,,,,,,c,mean_reference_transitions,,,,,0.0,2.0,0.011196379823718927,
,,,,,,,,,,c,mean_reference_transitions,,,,,0.0,3.0,2.3199483847785347e-05,
,,,,,,,,,,c,mean_reference_transitions,,,,,0.0,4.0,0.0006099330774006631,
,,,,,,,,,,c,mean_reference_transitions,,,,,1.0,0.0,0.07280545980969869,
,,,,,,,,,,c,mean_reference_transitions,,,,,1.0,1.0,0.9208038945955481,
,,,,,,,,,,c,mean_reference_transitions,,,,,1.0,2.0,0.01053949506024019,
,,,,,,,,,,c,mean_reference_transitions,,,,,1.0,3.0,0.00010836500464186908,
,,,,,,,,,,c,mean_reference_transitions,,,,,1.0,4.0,0.0005111140073464368,
,,,,,,,,,,c,mean_reference_transitions,,,,,2.0,0.0,0.4393727899334684,
,,,,,,,,,,c,mean_reference_transitions,,,,,2.0,1.0,0.02884727306162065,
,,,,,,,,,,c,mean_reference_transitions,,,,,2.0,2.0,0.9675556185174071,
,,,,,,,,,,c,mean_reference_transitions,,,,,2.0,4.0,0.0015238721048827714,
,,,,,,,,,,c,mean_reference_transitions,,,,,3.0,0.0,0.0012193543104710865,
,,,,,,,,,,c,mean_reference_transitions,,,,,3.0,1.0,0.003764364551251786,
,,,,,,,,,,c,mean_reference_transitions,,,,,3.0,3.0,0.9964504290812704,
,,,,,,,,,,c,mean_reference_transitions,,,,,4.0,0.0,0.13460935061206494,
,,,,,,,,,,c,mean_reference_transitions,,,,,4.0,1.0,0.041556299267125174,
,,,,,,,,,,c,mean_reference_transitions,,,,,4.0,2.0,0.002479031782525454,
,,,,,,,,,,c,mean_reference_transitions,,,,,4.0,4.0,0.8657588238320217,
two_compartment_asc_vs_conventional,,,,,,,,,,d,two_compartment_state_summary,0.0,0.999924551078872,0.9998323301084824,0.9999580786611884,,,,0.9998994056550788
two_compartment_asc_vs_conventional,,,,,,,,,,d,two_compartment_state_summary,3.0,0.9913709736725989,0.9810964083175804,0.9971125414082128,,,,0.9866920152091256
