analysis_name,analysis_role,n_samples,reference_n,exposed_n,design_rank,design_columns,tested_genes,fdr_0_05_genes,up_fdr_0_05,down_fdr_0_05,common_dispersion,median_tagwise_dispersion,label,panel,source_table,program_id,program_label,analysis_family,publication_role,positive_available,positive_total,negative_available,negative_total,availability_pass,effect,se_hc3,ci_low,ci_high,statistic,df,p_value,q_value_primary4,omitted_source_label,minimum_cells_after_omission,full_effect,loo_min_effect,loo_max_effect,loo_max_absolute_delta,loo_sign_concordance,loo_any_sign_flip,most_influential_sample_id
childhood_min50,primary,43.0,11.0,32.0,2.0,intercept;is_sle,8469.0,240.0,165.0,75.0,0.0645042617485556,0.0408485919922206,Childhood,a,external_model_summary,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_min50,combined,54.0,16.0,38.0,3.0,intercept;is_sle;is_adult,8601.0,259.0,161.0,98.0,0.0617528861479584,0.039291969080934,Combined >=50,a,external_model_summary,,,,,,,,,,,,,,,,,,,,,,,,,,
adult_min50,secondary,11.0,5.0,6.0,2.0,intercept;is_sle,6277.0,0.0,0.0,0.0,0.0346027562894379,0.0251739901384025,Adult,a,external_model_summary,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_min20,threshold,56.0,16.0,40.0,3.0,intercept;is_sle;is_adult,8458.0,274.0,169.0,105.0,0.061791716161833,0.0390845143953105,Combined >=20,a,external_model_summary,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_min100,threshold,51.0,16.0,35.0,3.0,intercept;is_sle;is_adult,8754.0,202.0,134.0,68.0,0.0622872021171561,0.0399496304440231,Combined >=100,a,external_model_summary,,,,,,,,,,,,,,,,,,,,,,,,,,
childhood_min50,,,,,,,,,,,,,Naive-to-memory,b,childhood_programs,NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,7.0,7.0,7.0,7.0,True,0.231030184501672,0.228911665047293,-0.23126630167329,0.693326670676634,1.00925474660254,41.0,0.318771885344471,0.318771885344471,,,,,,,,,
childhood_min50,,,,,,,,,,,,,Atypical/low-naive,b,childhood_programs,ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,7.0,7.0,3.0,3.0,True,1.190735307587,0.297341287507112,0.590242395262602,1.7912282199114,4.00460802995118,41.0,0.0002549110009293,0.0005098220018586,,,,,,,,,
childhood_min50,,,,,,,,,,,,,APC/HLA,b,childhood_programs,APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,10.0,10.0,0.0,0.0,True,0.265757015921966,0.184852398738159,-0.107559976814112,0.639074008658044,1.43767144887531,41.0,0.158116340234298,0.210821786979064,,,,,,,,,
childhood_min50,,,,,,,,,,,,,IFN/ISG,b,childhood_programs,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.04175695248946,0.178551149710383,0.681165590329929,1.40234831464899,5.83450150939509,41.0,7.43877837032842e-07,2.97551134813137e-06,,,,,,,,,
childhood_min50_without_b_casc0,,,,,,,,,,,,,,c,source_label_loo,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.05128637525091,0.178825847121475,0.690140250415209,1.41243250008662,5.87882787736374,41.0,6.43408102995616e-07,2.57363241198247e-06,B-caSC0,56.0,,,,,,,
