metric,observed,threshold,pass,panel,record_type,replicate,reference_state,reference_cells,mapped_cells,intersection,union,false_negative,false_positive,jaccard,recall,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite,n_samples,effect,se_hc3,statistic,df
Median mapped ARI,0.9629724043729124,0.95,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum mapped ARI,0.929696806592458,0.9,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median agreement,0.9993683510638296,0.995,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum agreement,0.9987699468085106,0.99,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minimum state
median Jaccard",0.9303233364573572,0.95,False,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,1.0,B_ASC,1024.0,1136.0,1006.0,1154.0,18.0,130.0,0.8717504332755632,0.982421875,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,1.0,B_CONV,119296.0,119184.0,119166.0,119314.0,130.0,18.0,0.9987595755736964,0.9989102736051502,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,2.0,B_ASC,1056.0,1076.0,1021.0,1111.0,35.0,55.0,0.918991899189919,0.9668560606060606,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,2.0,B_CONV,119264.0,119244.0,119209.0,119299.0,55.0,35.0,0.999245593005809,0.9995388382076738,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,3.0,B_ASC,1052.0,1052.0,1015.0,1089.0,37.0,37.0,0.9320477502295684,0.964828897338403,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,3.0,B_CONV,119268.0,119268.0,119231.0,119305.0,37.0,37.0,0.999379740999958,0.9996897742898346,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,4.0,B_ASC,1047.0,1076.0,1023.0,1100.0,24.0,53.0,0.93,0.9770773638968482,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,4.0,B_CONV,119273.0,119244.0,119220.0,119297.0,53.0,24.0,0.9993545520842938,0.9995556412599668,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,5.0,B_ASC,1031.0,1039.0,998.0,1072.0,33.0,41.0,0.9309701492537312,0.967992240543162,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,5.0,B_CONV,119289.0,119281.0,119248.0,119322.0,41.0,33.0,0.9993798293692696,0.999656296892421,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,6.0,B_ASC,1042.0,1071.0,1012.0,1101.0,30.0,59.0,0.9191643960036332,0.9712092130518234,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,6.0,B_CONV,119278.0,119249.0,119219.0,119308.0,59.0,30.0,0.9992540315821236,0.9995053572326832,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,7.0,B_ASC,1034.0,1047.0,1000.0,1081.0,34.0,47.0,0.9250693802035151,0.9671179883945842,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,7.0,B_CONV,119286.0,119273.0,119239.0,119320.0,47.0,34.0,0.9993211532014752,0.9996059889676912,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,8.0,B_ASC,1052.0,1061.0,1027.0,1086.0,25.0,34.0,0.9456721915285452,0.9762357414448668,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,8.0,B_CONV,119268.0,119259.0,119234.0,119293.0,34.0,25.0,0.999505419429472,0.999714927725794,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,9.0,B_ASC,1029.0,1044.0,1002.0,1071.0,27.0,42.0,0.9355742296918768,0.9737609329446064,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,9.0,B_CONV,119291.0,119276.0,119249.0,119318.0,42.0,27.0,0.9994217134045156,0.9996479197927756,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,10.0,B_ASC,1024.0,1036.0,993.0,1067.0,31.0,43.0,0.930646672914714,0.9697265625,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,10.0,B_CONV,119296.0,119284.0,119253.0,119327.0,43.0,31.0,0.9993798553554518,0.9996395520386266,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,11.0,B_ASC,1051.0,1074.0,1017.0,1108.0,34.0,57.0,0.9178700361010832,0.9676498572787822,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,11.0,B_CONV,119269.0,119246.0,119212.0,119303.0,57.0,34.0,0.9992372362807306,0.9995220887238092,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,12.0,B_ASC,1051.0,1052.0,1014.0,1089.0,37.0,38.0,0.931129476584022,0.9647954329210277,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,12.0,B_CONV,119269.0,119268.0,119231.0,119306.0,38.0,37.0,0.9993713643907264,0.9996813924825396,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,13.0,B_ASC,1022.0,1056.0,995.0,1083.0,27.0,61.0,0.9187442289935364,0.9735812133072408,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,13.0,B_CONV,119298.0,119264.0,119237.0,119325.0,61.0,27.0,0.9992625183322856,0.9994886754178612,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,14.0,B_ASC,1029.0,1038.0,999.0,1068.0,30.0,39.0,0.9353932584269664,0.9708454810495628,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,14.0,B_CONV,119291.0,119282.0,119252.0,119321.0,39.0,30.0,0.9994217279439496,0.999673068379006,,,,,,,,,,,,,,,,,
,,,,b,state_jaccard,15.0,B_ASC,1046.0,1057.0,1018.0,1085.0,28.0,39.0,0.9382488479262672,0.9732313575525812,,,,,,,,,,,,,,,,,
