figure,stage,action,minimum_font_pt,maximum_font_pt,font_size_levels,font_sizes_json,line_widths_json,arial_only,has_sub_1pt_rule,sha256
Figure1_disease_blind_identity_scope,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 72}","{""1.0"": 24, ""1.1"": 2}",True,False,50A83DE9F3CF6DC51C6A8FAF81B1131D0F002CB308B76640931B696DB55B2239
Figure1_disease_blind_identity_scope,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,12,"{""5.5"": 3, ""5.8"": 2, ""6.0"": 4, ""6.15"": 6, ""6.5"": 37, ""6.75"": 1, ""6.8"": 1, ""6.85"": 4, ""6.9"": 1, ""7.0"": 4, ""7.15"": 1, ""8.0"": 8}","{""0.6"": 37, ""0.7"": 6, ""0.8"": 10, ""1.0"": 63, ""1.1"": 2}",True,True,F7273F097CEFD3BE82D35F690097B082EF613A140CEE5F5D50751479F55019B7
Figure2_sample_level_composition,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 58}","{""1.0"": 1}",True,False,54DACFF0ABFE8B79134F42A078075888BC0ADD34D8E6540494ADE47EC278A66F
Figure2_sample_level_composition,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,6.0,8.0,5,"{""6.0"": 2, ""6.3"": 42, ""7.0"": 5, ""7.5"": 5, ""8.0"": 4}","{""0.6"": 42, ""0.7"": 7, ""0.9"": 12, ""1.0"": 45}",True,True,6103EA12DB456078C770E84518A2EC277A1B23FCDA6D48180B74E47A351A73D2
Figure3_gse174188_bconv_transcription,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 61}","{""1.0"": 58}",True,False,29DE2C5719E6A2FD92DD68235C5B48A151638A67A044E30009313060D8943E34
Figure3_gse174188_bconv_transcription,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,6.0,8.0,5,"{""6.0"": 3, ""6.3"": 50, ""7.0"": 4, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 50, ""0.7"": 8, ""0.8"": 8, ""0.9"": 11, ""1.0"": 80}",True,True,792C5048178B91A7AAC2D4D2CD08AB070FB19C231D625A0B2A3156ABDCE19B8C
Figure4_independent_ifn_replication,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 63}","{""1.0"": 67}",True,False,459C5912B10E4509020D481134B7FE8920DF90123E03B3EC665E4394B0E33A15
Figure4_independent_ifn_replication,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,7,"{""5.5"": 3, ""6.0"": 1, ""6.2"": 3, ""6.3"": 46, ""7.0"": 5, ""7.5"": 4, ""8.0"": 4}","{""0.5"": 1, ""0.6"": 50, ""0.7"": 6, ""0.75"": 8, ""0.9"": 12, ""1.0"": 82}",True,True,5E84603ED644E2744B0A94A8CB617EFC5CA2A0B522B74D529119E5F5AC2E0B36
Figure5_regulatory_evidence,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 118}","{""1.0"": 60, ""1.3"": 3}",True,False,52BB054EEF8DFE692F3A6D127360D00EC629250E72458154934881C5A969743C
Figure5_regulatory_evidence,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.8,8.0,8,"{""5.8"": 1, ""6.0"": 2, ""6.5"": 80, ""7.0"": 5, ""7.1"": 15, ""7.2"": 3, ""7.4"": 4, ""8.0"": 11}","{""0.5"": 3, ""0.55"": 7, ""0.6"": 66, ""0.7"": 19, ""0.9"": 24, ""1.0"": 73, ""1.3"": 3}",True,True,001488E572EB6B5D08B1FCBB049FF5B509197D044EFA19A755DFEAD18905F517
Supplementary_Figure_S10_reference_calibration_boundary,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 58}","{""1.0"": 2, ""1.5"": 4}",True,False,A6155EDE384410F8408C00C211EB872012445B6E8B2C7400D7806F6579A00C6F
Supplementary_Figure_S10_reference_calibration_boundary,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,7,"{""5.5"": 4, ""5.7"": 2, ""6.0"": 2, ""6.3"": 38, ""7.0"": 4, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 38, ""0.7"": 6, ""1.0"": 41, ""1.5"": 4}",True,True,7659A5793827941D5A8AA0F97969A90E1DDA789D8F4A2641AF0409557F019F96
Supplementary_Figure_S1_source_integrity_qc,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 75}","{""1.0"": 9}",True,False,E93F465EAD82CEE35BBAB32BDDC2FBAD75D346AFECB4148140CA21563AE9AB29
Supplementary_Figure_S1_source_integrity_qc,after,SOURCE_REDRAW_TYPOGRAPHY_ONLY,5.5,8.0,6,"{""5.5"": 12, ""6.0"": 1, ""6.3"": 45, ""7.0"": 9, ""7.5"": 4, ""8.0"": 4}","{""0.6"": 53, ""0.7"": 5, ""0.8"": 3, ""1.0"": 58}",True,True,F458B1BD2E807D139A01821C031D7496F3CCE0719BBFE3A4BF9BC7A8B4E8B6AC
Supplementary_Figure_S2_representation_diagnostics,before,SOURCE_REDRAW_TYPOGRAPHY_ONLY,8.0,8.0,1,"{""8.0"": 69}","{""1.0"": 26}",True,False,8DDFFAD3E4787F18270F270F1DC39B0A6842FE4403C0E78B0BC5BC935132015D
