tier,object,scientific_decision,artwork_action,rationale
Main,Figure 1a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 1b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 1c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 1d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 2a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 2b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 2c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 2d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 3a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 3b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 3c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 3d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 4a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 4b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 4c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 4d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 5a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 5b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 5c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 5d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Main,Figure 5e,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S1a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S1b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
