analysis_id,variant,n_strata,n_donors,reference_n,exposed_n,total_b_cells,total_asc_cells,zero_asc_strata,design_rank,design_columns,converged,optimizer_status,optimizer_message,negative_log_likelihood,aic,kappa,intraclass_rho,pearson_chi2_over_df,gradient_norm,hessian_positive_definite,hessian_condition_number,uncertainty_primary,uncertainty_audit,panel,source_table,term,estimate_log_odds,standard_error,z_value,p_value,odds_ratio,ci_low,ci_high,hc1_sandwich_standard_error,hc1_sandwich_z_value,hc1_sandwich_p_value,hc1_sandwich_ci_low,hc1_sandwich_ci_high,bh_q_across_three_frozen_contrasts,label,component,event_n,estimate,effect_ratio,fit_method,fit_status
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,90,90.0,43.0,47.0,38846.0,481.0,13.0,4.0,4.0,True,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,254.21720070485705,518.4344014097142,53.79757484889876,0.0182489827835893,2.1083485812462435,0.003173508824319,True,1701.9930464644583,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores,a,model_diagnostics,,,,,,,,,,,,,,,,,,,,,
C3A_VALIDATION_C2_EUROPEAN_FEMALE,frozen_base50,64,64.0,21.0,43.0,27045.0,171.0,19.0,3.0,3.0,True,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,144.84255556829277,297.68511113658553,52.461800474494986,0.0187049442990059,5.441012165841698,0.0033771222425992,True,1807.5721923087287,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores,a,model_diagnostics,,,,,,,,,,,,,,,,,,,,,
C3A_SECONDARY_C3_FLARE_VS_NORMAL,frozen_base50,34,34.0,18.0,16.0,15082.0,150.0,3.0,4.0,4.0,True,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,91.08845127689196,192.17690255378395,88.80186343739744,0.0111356263859392,2.0756257045653594,0.0012336323418756,True,1267.9186285106284,beta-binomial observed-information covariance,HC1 sandwich covariance from sample-stratum scores,a,model_diagnostics,,,,,,,,,,,,,,,,,,,,,
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,frozen_base50,90,,43.0,47.0,,,,,,True,,,,,,,,,True,,,,b,primary_covariance_sensitivity,is_managed,-0.054822503502106,0.203162567401452,-0.2698454946859181,0.7872791209333905,0.9466531606629468,0.6357046974785294,1.40969889029869,0.1909034690182857,-0.2871739512332006,0.7739791305681175,0.6511642901582742,1.3762305767340612,0.7872791209333906,Base >=50,,,,,,
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,minimum_cells_20,94,,44.0,50.0,,,,,,True,,,,,,,,,True,,,,b,primary_covariance_sensitivity,is_managed,-0.0026527427187183,0.2028573769605933,-0.0130768856349439,0.9895664522140396,0.9973507726940652,0.6701503414389319,1.4843065835908291,0.1828640997425067,-0.0145066348312968,0.988425785991327,0.6969327357811712,1.427266237793393,,>=20 cells,,,,,,
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,minimum_cells_100,87,,41.0,46.0,,,,,,True,,,,,,,,,True,,,,b,primary_covariance_sensitivity,is_managed,-0.1276033024477105,0.2009346905525232,-0.6350486424063031,0.525396690905601,0.8802024840664799,0.5936678471324082,1.3050334740193614,0.191819469328368,-0.6652260216050935,0.505905939300595,0.6043695306988965,1.281925003831462,,>=100 cells,,,,,,
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,exclude_explicit_non_b_ct_cov,90,,43.0,47.0,,,,,,True,,,,,,,,,True,,,,b,primary_covariance_sensitivity,is_managed,-0.0550970669499277,0.2031679668607379,-0.2711897342935669,0.7862451080937967,0.946393279985764,0.6355234544218242,1.4093268063836466,0.1909575782979014,-0.2885304026215399,0.7729407616276763,0.6509164927066237,1.3759986886764874,,Exclude non-B,,,,,,
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,exclude_residual_doublet_auto_call,90,,43.0,47.0,,,,,,True,,,,,,,,,True,,,,b,primary_covariance_sensitivity,is_managed,-0.0534897103091084,0.2032022758610854,-0.2632338150861828,0.7923703689117979,0.9479156947131115,0.6365029851842603,1.411688845455018,0.1909325926527845,-0.2801497092032935,0.779362648511406,0.6519955176111984,1.3781446958033623,,Risk-negative,,,,,,
C3A_PRIMARY_C4_MANAGED_VS_NORMAL,base50,90,,,,,,,,,,,,,,,,,,,,,,c,two_part_presence,,,0.5805285367825834,,0.911410341722198,,0.3004645763993704,2.9248595137224416,,,,,,,,ASC presence,77.0,-0.064589482060098,0.9374522253524616,Firth logistic (Jeffreys penalty),complete
C3A_VALIDATION_C2_EUROPEAN_FEMALE,base50,64,,,,,,,,,,,,,,,,,,,,,,c,two_part_presence,,,0.8528103728846061,,0.1029069451081226,,0.046776475698563,1.3239792739310006,,,,,,,,ASC presence,45.0,-1.390866527592203,0.2488595674922596,Firth logistic (Jeffreys penalty),complete
