document,page,same_dimensions,pixel_identical,normalized_mean_absolute_error,before_sha256,after_sha256
manuscript,1,True,True,0.0000000000,180F6FC21238ED947B935735B8105AD16AFBB61C51F206A27CED04933384C789,180F6FC21238ED947B935735B8105AD16AFBB61C51F206A27CED04933384C789
manuscript,2,True,True,0.0000000000,15B8A1F8317F4A59738391E0C94884321329CEB015EA689B2FEF795D7104C26F,15B8A1F8317F4A59738391E0C94884321329CEB015EA689B2FEF795D7104C26F
manuscript,3,True,True,0.0000000000,270D7818F7ABF943830B0515014CC9D335CD18A906F5BD652AAF240C4121D8B1,270D7818F7ABF943830B0515014CC9D335CD18A906F5BD652AAF240C4121D8B1
manuscript,4,True,True,0.0000000000,082641C98D6422D47409E7F688D19DD7238916E822FDFE239E7A86986C413C50,082641C98D6422D47409E7F688D19DD7238916E822FDFE239E7A86986C413C50
manuscript,5,True,True,0.0000000000,EA37385021D9A4823E5440E3DF2115C761C07171C8710A153A178AFD5741EDB5,EA37385021D9A4823E5440E3DF2115C761C07171C8710A153A178AFD5741EDB5
manuscript,6,True,True,0.0000000000,D00F62D45E018B26BE0C83E86D878CA9EC0FF9528FDCEF7A8621DDED6E343DF1,D00F62D45E018B26BE0C83E86D878CA9EC0FF9528FDCEF7A8621DDED6E343DF1
manuscript,7,True,True,0.0000000000,19B3635587AEB17487F7DB07874D19085C111FB2273E31CF495F6473B22D8072,19B3635587AEB17487F7DB07874D19085C111FB2273E31CF495F6473B22D8072
manuscript,8,True,True,0.0000000000,A50402F897D0A46393C774E700049B45439173DCB3C8AEECD1A33A865F4675FE,A50402F897D0A46393C774E700049B45439173DCB3C8AEECD1A33A865F4675FE
manuscript,9,True,True,0.0000000000,5F7BF88A191CFC7DDD16FBB79874D6CE1C152DA12FD558D41EDB9C2A938BBC27,5F7BF88A191CFC7DDD16FBB79874D6CE1C152DA12FD558D41EDB9C2A938BBC27
manuscript,10,True,True,0.0000000000,48C0868F5CE199E4A0DCCC7576D11FFD4051C97BDA7C6664A4BB80C4A0194637,48C0868F5CE199E4A0DCCC7576D11FFD4051C97BDA7C6664A4BB80C4A0194637
manuscript,11,True,True,0.0000000000,2D6F8931DFD7C89F34FE6F728CC782EC6FA18D2BDB549EAA0C8F29240F60B5BF,2D6F8931DFD7C89F34FE6F728CC782EC6FA18D2BDB549EAA0C8F29240F60B5BF
manuscript,12,True,True,0.0000000000,7BE03CD4E15C66F793605C3A0A524DB86B4F126FE4C785EA3B1163F1348B6743,7BE03CD4E15C66F793605C3A0A524DB86B4F126FE4C785EA3B1163F1348B6743
