panel,analysis_name,program_id,program_label,analysis_family,publication_role,positive_available,positive_total,negative_available,negative_total,availability_pass,effect,se_hc3,ci_low,ci_high,statistic,df,p_value,q_value_primary4,label,color,order,gene_symbol,gse174188_primary_logFC,gse174188_primary_tested,gse174188_nonoverlap_logFC,gse174188_nonoverlap_tested,n_samples,reference_n,exposed_n,design_rank,design_columns,tested_genes,fdr_0_05_genes,up_fdr_0_05,down_fdr_0_05,common_dispersion,median_tagwise_dispersion
a,primary_base,NAIVE_TO_MEMORY_AXIS,Naive-to-memory axis,primary_confirmatory,continuous B_CONV program; no hard subtype,7.0,7.0,7.0,7.0,True,-0.54071793846408,0.21998114527191,-0.978099389858302,-0.103336487069858,-2.4580194716039,85.0,0.0160010752151502,0.0213347669535336,Naive-to-memory,#2C6EAD,,,,,,,,,,,,,,,,,
a,primary_base,ATYPICAL_LOW_NAIVE_AXIS,Atypical/ABC with low-naive context,primary_confirmatory,continuous B_CONV program; no ABC hard identity,7.0,7.0,3.0,3.0,True,-0.0568095515021531,0.176211640205524,-0.40716550064672,0.293546397642414,-0.32239386362838,85.0,0.747945959835198,0.747945959835198,Atypical/low-naive,#2C6EAD,,,,,,,,,,,,,,,,,
a,primary_base,APC_HLA,Antigen-presentation program,primary_confirmatory,continuous B_CONV program,10.0,10.0,0.0,0.0,True,0.267679688655413,0.108354633660698,0.052241647921395,0.48311772938943,2.47040370690214,85.0,0.0154941551722226,0.0213347669535336,APC/HLA,#2C6EAD,,,,,,,,,,,,,,,,,
a,primary_base,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85.0,7.44251044920975e-07,2.9770041796839e-06,IFN/ISG,#D55E00,,,,,,,,,,,,,,,,,
b,primary_base,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85.0,7.44251044920975e-07,2.9770041796839e-06,Primary C4 (n=89),#D55E00,0.0,,,,,,,,,,,,,,,,
b,primary_min20,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.813036553044015,0.142914204634987,0.529112541190759,1.09696056489727,5.68898350671699,90.0,1.57232627837433e-07,6.2893051134973e-07,Primary >=20 (n=94),#D55E00,1.0,,,,,,,,,,,,,,,,
b,primary_min100,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.82047074281059,0.157815623429612,0.506581815125822,1.13435967049536,5.19891963153147,83.0,1.41469582523081e-06,5.65878330092322e-06,Primary >=100 (n=87),#D55E00,2.0,,,,,,,,,,,,,,,,
b,primary_residual_risk_negative,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.842077408429252,0.155831511129362,0.532242615877062,1.15191220098144,5.40376848255171,85.0,5.86096623653871e-07,2.34438649461548e-06,Residual-risk negative (n=89),#D55E00,3.0,,,,,,,,,,,,,,,,
b,validation_full,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.856126196501275,0.250993958171508,0.354232758050295,1.35801963495225,3.41094344556402,61.0,0.0011537934351061,0.0046151737404247,Internal C2 (n=64),#D55E00,4.0,,,,,,,,,,,,,,,,
b,validation_nonoverlap,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.08624050109214,0.255417464264537,0.573468545179428,1.59901245700485,4.25280434217729,51.0,9.01319089523746e-05,0.0003605276358094,Internal nonoverlap (n=54),#D55E00,5.0,,,,,,,,,,,,,,,,
b,flare_full,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,1.36830280496755,0.313078574091041,0.728911056443348,2.00769455349175,4.37047731209372,30.0,0.0001367549204342,0.0005470196817369,"Flare C3, secondary (n=34)",#E69F00,6.0,,,,,,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,IFI44L,2.37347774468172,True,3.46693777755938,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,IFI6,1.16001511788063,True,1.52070607141869,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,IFIT1,,False,,False,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,IFIT2,,False,0.49805097364364,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,IFIT3,1.82407771070776,True,2.39691080179173,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,IRF7,0.795473003877829,True,1.06517457678405,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,ISG15,0.999563757409052,True,1.62833032330489,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,LY6E,0.480203228077738,True,0.673696250682363,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,MX1,1.34899135161146,True,1.5456237430684,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,MX2,0.874988510097897,True,1.04277178138181,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,OAS1,1.02943939321353,True,1.36687116842651,True,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,OAS2,0.961718329629006,True,1.16641006485638,True,,,,,,,,,,,
d,primary_base,IFN_ISG,Type I interferon response,primary_confirmatory,continuous B_CONV program,12.0,12.0,0.0,0.0,True,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85.0,7.44251044920975e-07,2.9770041796839e-06,,,,,,,,,,,,,,,,,,,
d,primary_base,PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,10.0,10.0,0.0,0.0,True,0.0150762078641597,0.0993395653794576,-0.182437461922551,0.212589877650871,0.151764383169702,85.0,0.879732408392451,,,,,,,,,,,,,,,,,,,,
d,primary_base,ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,10.0,10.0,0.0,0.0,True,-0.0359215944171226,0.0792407228885208,-0.193473380701664,0.121630191867419,-0.453322396713349,85.0,0.651471774035226,,,,,,,,,,,,,,,,,,,,
d,primary_base,PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,5.0,5.0,0.0,0.0,True,0.408920593284872,0.145800805179712,0.119029531461712,0.698811655108032,2.80465250367336,85.0,0.0062411928664448,,,,,,,,,,,,,,,,,,,,
