Processing_Cohort,disease,n_cells,n_hard_fail,n_eligible,hard_fail_fraction,panel,source_table,library_uuid,status,threshold,predicted_doublets,predicted_doublet_fraction,score_median,score_q95,message,category
1.0,normal,23763,398.0,23365.0,0.0167487270125825,a,hard_qc_retention,,,,,,,,,
2.0,normal,10203,131.0,10072.0,0.012839360972263,a,hard_qc_retention,,,,,,,,,
2.0,systemic lupus erythematosus,60224,773.0,59451.0,0.0128354144527098,a,hard_qc_retention,,,,,,,,,
3.0,normal,7730,107.0,7623.0,0.0138421733505821,a,hard_qc_retention,,,,,,,,,
3.0,systemic lupus erythematosus,10991,114.0,10877.0,0.0103721226458011,a,hard_qc_retention,,,,,,,,,
4.0,normal,18529,470.0,18059.0,0.0253656430460359,a,hard_qc_retention,,,,,,,,,
4.0,systemic lupus erythematosus,21541,586.0,20955.0,0.0272039366788914,a,hard_qc_retention,,,,,,,,,
,,1728,,,,b/d,library_doublet_summary,0103e306-959a-46b0-896d-d8b9dee40157,ok,0.4574857150305285,32.0,0.0185185185185185,0.165680473372781,0.3273703041144898,,
,,1615,,,,b/d,library_doublet_summary,048cb921-e15f-47a6-a9e3-ed512574e5d7,ok,0.4464882111525617,25.0,0.0154798761609907,0.1582089552238806,0.3163636363636362,,
,,1824,,,,b/d,library_doublet_summary,0955850b-157b-4396-a3da-83b8bcbed172,ok,0.4581663060724826,25.0,0.0137061403508771,0.1354515050167224,0.3273703041144898,,
,,1930,,,,b/d,library_doublet_summary,0be87f87-d01a-495e-9605-d89d36240908,ok,0.4667505445894565,39.0,0.0202072538860103,0.156193895870736,0.3380281690140841,,
,,2282,,,,b/d,library_doublet_summary,0c3a7808-800f-43b1-a57b-08c3b2bb9e5a,ok,0.492306127999923,24.0,0.0105170902716914,0.1545380212591986,0.3583617747440269,,
,,1289,,,,b/d,library_doublet_summary,0c7c125d-46d6-40ba-8088-31fb2b526a78,ok,0.4197091848162289,41.0,0.0318076027928626,0.1607142857142856,0.3605442176870743,,
,,1216,,,,b/d,library_doublet_summary,10cec51f-a79f-4907-8745-b45df64f6946,ok,0.4076384300783224,11.0,0.0090460526315789,0.1521984216459977,0.2810707456978968,,
,,1515,,,,b/d,library_doublet_summary,1495b93b-a19f-4364-95a3-6d8ac531eac6,ok,0.4390058291541152,29.0,0.0191419141914191,0.1506024096385542,0.3049907578558223,,
,,1904,,,,b/d,library_doublet_summary,15024b21-fb68-4bbe-92cf-0c9ab90f11a6,ok,0.4683569691995964,18.0,0.009453781512605,0.156193895870736,0.3380281690140841,,
,,1715,,,,b/d,library_doublet_summary,152e2bfd-e9ea-4d70-a999-6f37fb3fb96c,ok,0.4552593963959687,11.0,0.0064139941690962,0.1354515050167224,0.3273703041144898,,
,,1625,,,,b/d,library_doublet_summary,1556abac-8f1a-404a-8a2f-402ac562143c,ok,0.4451585954480151,12.0,0.0073846153846153,0.1423357664233576,0.3163636363636362,,
,,1474,,,,b/d,library_doublet_summary,16552c24-ef48-4e1f-aff5-319a1f739299,ok,0.432064528879867,15.0,0.0101763907734057,0.1506024096385542,0.3049907578558223,,
,,2078,,,,b/d,library_doublet_summary,1e3165e4-e0c0-4bf7-b803-7d8271b99fd5,ok,0.4794557251436844,19.0,0.0091434071222329,0.1482701812191103,0.3483535528596185,,
,,2459,,,,b/d,library_doublet_summary,222b358b-71e7-4b0f-9f9b-47b4c67aaa27,ok,0.5038127877504404,22.0,0.0089467263115087,0.1607142857142856,0.3680672268907563,,
,,1744,,,,b/d,library_doublet_summary,2236c52d-924b-415a-aae0-00fa08d12d1f,ok,0.4609087458594044,23.0,0.0131880733944954,0.165680473372781,0.3273703041144898,,
,,1865,,,,b/d,library_doublet_summary,272dbb99-7929-46e2-8446-a19c21af05da,ok,0.4717453149571907,14.0,0.0075067024128686,0.156193895870736,0.3380281690140841,,
,,1450,,,,b/d,library_doublet_summary,28401515-eca4-442a-85fc-f8c2793b1c26,ok,0.435454180366829,46.0,0.0317241379310344,0.169060773480663,0.3733333333333332,,
,,1482,,,,b/d,library_doublet_summary,2dbf699a-f6cd-446d-8dc4-0595319cfa99,ok,0.435454180366829,28.0,0.0188933873144399,0.1506024096385542,0.3733333333333332,,
,,1504,,,,b/d,library_doublet_summary,2e65a160-ba6e-4001-b942-c2aa46cd2c5b,ok,0.436811833851745,22.0,0.014627659574468,0.1506024096385542,0.3049907578558223,,
,,1652,,,,b/d,library_doublet_summary,3044f2b9-48b5-45ec-ac14-107f0d7372f0,ok,0.4478535735084649,37.0,0.0223970944309927,0.1423357664233576,0.38562091503268,,
,,1724,,,,b/d,library_doublet_summary,30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5,ok,0.4596462988231288,11.0,0.0063805104408352,0.1354515050167224,0.3273703041144898,,
,,1840,,,,b/d,library_doublet_summary,32436280-1ea6-4678-bb18-4632fe8c4933,ok,0.4647901195707968,18.0,0.0097826086956521,0.1493212669683257,0.3273703041144898,,
,,1446,,,,b/d,library_doublet_summary,3332f018-936e-4c4c-9105-99d9503db5a3,ok,0.4326167890792342,23.0,0.0159059474412171,0.1506024096385542,0.3733333333333332,,
,,1690,,,,b/d,library_doublet_summary,34585dab-86cd-40a1-9780-83204c304046,ok,0.4573695728010528,15.0,0.0088757396449704,0.1354515050167224,0.3273703041144898,,
,,2377,,,,b/d,library_doublet_summary,3639058a-5dc3-49ad-82ff-cec405483912,ok,0.4941292776666035,20.0,0.0084139671855279,0.141552511415525,0.3057607090103397,,
,,1351,,,,b/d,library_doublet_summary,39093cbf-e0a9-480d-ab0b-e9e4cf95a9f8,ok,0.4203794960373906,29.0,0.0214655810510732,0.1607142857142856,0.3605442176870743,,
,,1554,,,,b/d,library_doublet_summary,39564abe-76f3-4a33-9f10-f574069834bc,ok,0.445248679078955,30.0,0.0193050193050193,0.1423357664233576,0.3163636363636362,,
,,973,,,,b/d,library_doublet_summary,3c722d55-1664-4996-8228-63504e862676,ok,0.3903780390324162,26.0,0.02672147995889,0.1269349845201237,0.3333333333333328,,
,,1470,,,,b/d,library_doublet_summary,43b9b939-e389-4784-b4e0-ee9d12aa7ca1,ok,0.4382630474587107,11.0,0.0074829931972789,0.1352345906163753,0.2563291139240507,,
,,1620,,,,b/d,library_doublet_summary,4e57f7cc-1df2-467f-8bfe-cb19af5d7350,ok,0.4428685559804398,29.0,0.0179012345679012,0.1423357664233576,0.3163636363636362,,
,,1670,,,,b/d,library_doublet_summary,54530f14-aadf-4c2a-8f92-9c22a69cc022,ok,0.4454490961526894,24.0,0.0143712574850299,0.1582089552238806,0.3163636363636362,,
,,2251,,,,b/d,library_doublet_summary,56b848af-d12b-4f9c-b605-947e296caa46,ok,0.4920014574618759,17.0,0.0075521990226565,0.1545380212591986,0.3057607090103397,,
,,2455,,,,b/d,library_doublet_summary,585af22b-b80b-4a1d-8cc8-17d65b2639e1,ok,0.4996366757899305,17.0,0.0069246435845213,0.1607142857142856,0.3148688046647229,,
,,2203,,,,b/d,library_doublet_summary,60373b7d-7c45-428f-9622-aa4f854c4860,ok,0.4809887125819945,22.0,0.0099863822060826,0.1482701812191103,0.3483535528596185,,
,,1329,,,,b/d,library_doublet_summary,64f6fec6-18a3-4563-b731-189faf6423f2,ok,0.4261649177979821,42.0,0.0316027088036117,0.1607142857142856,0.3605442176870743,,
,,1740,,,,b/d,library_doublet_summary,665a3535-8f40-4ae3-9260-cbce7060781f,ok,0.4581663060724826,21.0,0.0120689655172413,0.1493212669683257,0.3273703041144898,,
,,1916,,,,b/d,library_doublet_summary,683bd537-4ff4-4741-afe5-be328f499d4b,ok,0.4711732792747217,18.0,0.0093945720250521,0.156193895870736,0.3380281690140841,,
,,1886,,,,b/d,library_doublet_summary,68492085-4a2b-4551-9b12-75062c694069,ok,0.4708481851411613,19.0,0.0100742311770943,0.141908713692946,0.3380281690140841,,
,,1751,,,,b/d,library_doublet_summary,6ab35eea-1bae-4ee8-8e5f-5f1505715ac3,ok,0.4566224140442897,22.0,0.0125642490005711,0.1493212669683257,0.3273703041144898,,
,,1436,,,,b/d,library_doublet_summary,6fd714df-b88d-43a6-8f75-3d300278329d,ok,0.432064528879867,27.0,0.0188022284122562,0.169060773480663,0.3733333333333332,,
,,1558,,,,b/d,library_doublet_summary,70a004b7-4a17-4702-8910-4557aa0c4279,ok,0.4460943477384825,20.0,0.0128369704749679,0.1502723608236191,0.3163636363636362,,
,,2049,,,,b/d,library_doublet_summary,78c34b8c-196b-4a31-b700-08882bfaf4ab,ok,0.4821552956844065,29.0,0.0141532454856027,0.1629563668744433,0.3483535528596185,,
