panel,state,n,q25,median,q75,mapper,threshold,coverage,B_CONV_precision,B_ASC_precision,accuracy,eligible,selected,diagnostic_fallback_only,parameter,fold,n_validation,n_donors,balanced_accuracy,roc_auc,average_precision,brier_score,median_margin
a,B_CONV,13000.0,5.13066525,5.72482735,6.3469386,,,,,,,,,,,,,,,,,,
a,B_ASC,1300.0,4.79184915,5.87298335,6.70565575,,,,,,,,,,,,,,,,,,
b-c,,,,,,elastic_net,0.95,0.941958041958042,0.9964495087110892,0.8852097130242825,0.9852264291017075,False,True,True,,,,,,,,,
b-c,,,,,,nearest_centroid,0.1177669793367385,0.95,0.9923743779097768,1.0,0.993006993006993,True,True,False,,,,,,,,,
d,,,,,,elastic_net,,,,,,,,,alpha=0.0001;l1_ratio=0.5,0.0,2856.0,54.0,0.95316321327103,0.9920557280973143,0.945541135556794,0.0439375017004728,
d,,,,,,elastic_net,,,,,,,,,alpha=0.0001;l1_ratio=0.5,1.0,2848.0,50.0,0.9665521327192153,0.9977323479809636,0.9865869836619104,0.0393570034823464,
d,,,,,,elastic_net,,,,,,,,,alpha=0.0001;l1_ratio=0.5,2.0,2857.0,51.0,0.9487263202795404,0.9894076710023488,0.9562034012899304,0.0183758510078118,
d,,,,,,elastic_net,,,,,,,,,alpha=0.0001;l1_ratio=0.5,3.0,2874.0,49.0,0.9673584439503178,0.993763522973145,0.974431669314226,0.0205592623206074,
d,,,,,,elastic_net,,,,,,,,,alpha=0.0001;l1_ratio=0.5,4.0,2865.0,54.0,0.9670464441219158,0.9958417997097244,0.9797500924857676,0.0128820661906836,
d,,,,,,nearest_centroid,,,,,,,,,Pearson correlation,0.0,2856.0,54.0,0.94131482271644,0.9796513054117983,0.9362532179371558,,0.1878331303596496
d,,,,,,nearest_centroid,,,,,,,,,Pearson correlation,1.0,2848.0,50.0,0.9725696702293332,0.9950502112220242,0.9785429385952066,,0.1898347437381744
d,,,,,,nearest_centroid,,,,,,,,,Pearson correlation,2.0,2857.0,51.0,0.9335192943706248,0.9809057602636468,0.9349769190321277,,0.1942894458770752
d,,,,,,nearest_centroid,,,,,,,,,Pearson correlation,3.0,2874.0,49.0,0.9627450980392156,0.9889764840644162,0.9609643309898676,,0.186551958322525
d,,,,,,nearest_centroid,,,,,,,,,Pearson correlation,4.0,2865.0,54.0,0.9413171262699565,0.9842133526850508,0.9421714033829344,,0.1923009157180786
