old_display_id,new_display_id,object_type,old_relative_path,new_relative_path,bytes,old_sha256,new_sha256,byte_identical
S10,S8,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S10_reference_calibration_boundary.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S8_reference_calibration_boundary.pdf,44871,7659A5793827941D5A8AA0F97969A90E1DDA789D8F4A2641AF0409557F019F96,7659A5793827941D5A8AA0F97969A90E1DDA789D8F4A2641AF0409557F019F96,True
S10,S8,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S10_reference_calibration_boundary.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S8_reference_calibration_boundary.png,387685,A0C2E06A09AB40693B9FC55278C87A667EAF15E0FE9D3ADD61A6694AFCA939D0,A0C2E06A09AB40693B9FC55278C87A667EAF15E0FE9D3ADD61A6694AFCA939D0,True
S1,S1,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S1_source_integrity_qc.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S1_source_integrity_qc.pdf,49463,F458B1BD2E807D139A01821C031D7496F3CCE0719BBFE3A4BF9BC7A8B4E8B6AC,F458B1BD2E807D139A01821C031D7496F3CCE0719BBFE3A4BF9BC7A8B4E8B6AC,True
S1,S1,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S1_source_integrity_qc.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S1_source_integrity_qc.png,542612,2B2A010C31D4326F9BD41E75E60EC52DF7044B2E388F447B6C47F79AAA204EBD,2B2A010C31D4326F9BD41E75E60EC52DF7044B2E388F447B6C47F79AAA204EBD,True
S2,S2,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S2_representation_diagnostics.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S2_representation_diagnostics.pdf,50035,FF640D1A27AB108D1E1D7B2363EC45DE3BCA7D16CBEDE366353E79B744A8FB86,FF640D1A27AB108D1E1D7B2363EC45DE3BCA7D16CBEDE366353E79B744A8FB86,True
S2,S2,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S2_representation_diagnostics.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S2_representation_diagnostics.png,505310,67B1445C90BE1058B3F455C70209655BE5712E79CDBAC461AFC662C2084A20F7,67B1445C90BE1058B3F455C70209655BE5712E79CDBAC461AFC662C2084A20F7,True
S3,S3,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S3_fine_state_failure_transition_structure.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S3_fine_state_failure_transition_structure.pdf,41897,ECB80FF10A95FFEE71F86A5D940EADA465D523143AA5EE9216BB41CA1C885934,ECB80FF10A95FFEE71F86A5D940EADA465D523143AA5EE9216BB41CA1C885934,True
S3,S3,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S3_fine_state_failure_transition_structure.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S3_fine_state_failure_transition_structure.png,246532,6B4A8CB52293E14D9B8B608BE93726E64E52E9F1D37BB1715E043AB44E144097,6B4A8CB52293E14D9B8B608BE93726E64E52E9F1D37BB1715E043AB44E144097,True
S4,S5,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S4_composition_diagnostics.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S5_composition_diagnostics.pdf,46706,92E4F1667D9B7915A7F98393A4C0168B80D9EA1054E8024B4DC14A0B1638C1F2,92E4F1667D9B7915A7F98393A4C0168B80D9EA1054E8024B4DC14A0B1638C1F2,True
S4,S5,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S4_composition_diagnostics.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S5_composition_diagnostics.png,301388,7B92B1D1FE2598352BB70A377449901D911C68BAF905EFC91A755641E6F0DD7C,7B92B1D1FE2598352BB70A377449901D911C68BAF905EFC91A755641E6F0DD7C,True
S5,S6,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S5_pseudobulk_ranked_list_diagnostics.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S6_pseudobulk_ranked_list_diagnostics.pdf,46141,AA2A6F9D0BCD49B4B26D311C479AA74E39BCCC5D7830447DB3026ACF79C5F0CF,AA2A6F9D0BCD49B4B26D311C479AA74E39BCCC5D7830447DB3026ACF79C5F0CF,True
S5,S6,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S5_pseudobulk_ranked_list_diagnostics.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S6_pseudobulk_ranked_list_diagnostics.png,355690,47C9A02403F4D6B68E07D0A2F272A0D2965DCF799F9AD07680F99BFF1E09D0C5,47C9A02403F4D6B68E07D0A2F272A0D2965DCF799F9AD07680F99BFF1E09D0C5,True
S6,S7,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S6_replication_robustness_diagnostics.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S7_replication_robustness_diagnostics.pdf,47153,F76A84E04A56669FB48A06CBAEC415646EB12C56547069485E8D5DB3AA2A5027,F76A84E04A56669FB48A06CBAEC415646EB12C56547069485E8D5DB3AA2A5027,True
