representation,field,n_evaluable_cells,mean_same_group_fraction,median_same_group_fraction,mean_local_entropy,median_local_entropy,panel,source_table,sample_uuid,cohort_a,cohort_b,cells_a,cells_b,euclidean_centroid_distance,cosine_centroid_distance,resolution,comparison,n_common_cells,primary_clusters,comparison_clusters,adjusted_rand_index,normalized_mutual_information,resolution_numeric,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
unintegrated_pca,library_uuid,150402.0,0.0828459709882736,0.0666666701436042,0.819461464881897,0.8506077527999878,a,neighbor_mixing,,,,,,,,,,,,,,,,,,,,,
unintegrated_pca,sample_uuid,150402.0,0.0838552713394165,0.0,0.8606530427932739,0.8976168036460876,a,neighbor_mixing,,,,,,,,,,,,,,,,,,,,,
unintegrated_pca,Processing_Cohort,150402.0,0.693128228187561,0.7333333492279053,0.4062953293323517,0.4527936279773712,a,neighbor_mixing,,,,,,,,,,,,,,,,,,,,,
harmony_pca,library_uuid,150402.0,0.0140764974057674,0.0,0.9324663877487184,0.9317445158958436,a,neighbor_mixing,,,,,,,,,,,,,,,,,,,,,
harmony_pca,sample_uuid,150402.0,0.0193902570754289,0.0,0.941841721534729,0.965872287750244,a,neighbor_mixing,,,,,,,,,,,,,,,,,,,,,
harmony_pca,Processing_Cohort,150402.0,0.3645793497562408,0.3333333432674408,0.656622588634491,0.6691344380378723,a,neighbor_mixing,,,,,,,,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,11c6a06c-f0e0-45bc-b5ec-1b14445548d4,1.0,2.0,622.0,318.0,2.7109591960906982,0.4257003664970398,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,13ec931d-a536-4679-ad6c-39d7bbaa8d5d,1.0,2.0,529.0,627.0,3.9194164276123047,0.5144445300102234,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,2688f505-eb1a-4f9f-af54-e30b3da7dff3,2.0,4.0,600.0,469.0,7.391083717346191,1.4093450009822843,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,27ae3b51-85d4-49fe-bcc3-89b0cbd59e23,3.0,4.0,543.0,337.0,8.831884384155273,1.6588090062141418,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,27b03089-9abd-4025-b745-1a4d42f729a3,2.0,3.0,796.0,903.0,6.520988464355469,0.9366389587521552,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,2c6239f0-efd3-469e-86aa-554f62dfb4f8,2.0,3.0,333.0,319.0,6.169310092926025,1.2987942099571228,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,342b5092-67e5-4a0e-a437-8b735f2a863c,2.0,4.0,404.0,240.0,5.414746284484863,0.521502822637558,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,3672d82d-f24c-4536-b75a-0627889e1426,1.0,2.0,491.0,492.0,3.614149332046509,0.9805290717631578,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,3876bd23-e063-4b96-89ae-eec693743c86,1.0,2.0,264.0,244.0,2.345919132232666,0.3422655463218689,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,3ecf5ad3-4ae3-4152-a1d2-4c9c548c5551,2.0,4.0,797.0,402.0,6.104651927947998,0.6368809938430786,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,3f068829-713e-4b6a-a79a-754b7d9eef46,2.0,4.0,1308.0,1304.0,4.400198459625244,0.8814406916499138,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,3ff8915f-d4b6-418d-89ec-61fffb366646,2.0,4.0,652.0,514.0,5.901899337768555,0.6334656178951263,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,46e6ff98-de92-4b09-98ae-ff683d6ed775,2.0,4.0,631.0,332.0,4.574381351470947,0.3777946233749389,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,4752a18e-a3a0-4699-99e8-18c7fee59072,1.0,2.0,876.0,539.0,2.7216598987579346,0.3650159835815429,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,4752a18e-a3a0-4699-99e8-18c7fee59072,1.0,3.0,876.0,457.0,1.7739089727401731,0.1355965137481689,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,4752a18e-a3a0-4699-99e8-18c7fee59072,2.0,3.0,539.0,457.0,3.26772141456604,0.5323103070259094,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,4a555a89-3c4e-4e35-91ed-eed175492e5d,2.0,4.0,336.0,402.0,5.049046516418457,1.154408112168312,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,4e63511b-e07c-4fe2-af13-d535b769bbbd,2.0,3.0,553.0,316.0,6.00731086730957,1.598562479019165,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,4f96324f-0403-4ba1-b110-02c96a5cba84,3.0,4.0,491.0,325.0,5.469211101531982,1.4324391782283783,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,577bce84-8d37-4851-9fb4-53f9467699ba,2.0,4.0,527.0,276.0,7.792521953582764,1.2559998333454132,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,58491584-2df2-4f81-829b-6f930c4d8649,3.0,4.0,552.0,466.0,7.123208999633789,1.23228120803833,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5a4d2669-4967-4de5-853b-13c224029d30,2.0,4.0,560.0,370.0,1.8724160194396973,0.172946035861969,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5e0ed28c-a75a-4ecd-a0c7-49e71264690b,2.0,4.0,232.0,223.0,5.061302185058594,0.8230493664741516,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,2.0,339.0,362.0,2.908984899520874,0.441409170627594,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,3.0,339.0,338.0,2.881532430648804,0.2228603363037109,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,2.0,3.0,362.0,338.0,4.3797125816345215,0.6664569973945618,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,670c5ac9-5e1c-4834-8087-2dd39d87d04b,2.0,4.0,181.0,125.0,4.728643417358398,0.3089696764945984,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,6779676d-7bac-4431-bbb0-0b7c773b55da,2.0,4.0,444.0,337.0,2.969174385070801,0.1842313408851623,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,69b3abaf-0498-44c8-867f-086ccc8dce13,2.0,4.0,200.0,254.0,6.649892330169678,0.7941119074821472,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,77712740-d29f-4bb0-9b90-2aa3db72f3ba,1.0,2.0,454.0,257.0,2.7053091526031494,0.640523761510849,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,7b7167c1-bc81-4fa8-b322-18bab1ea6269,2.0,4.0,920.0,558.0,2.4825375080108643,0.293051540851593,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,7eff9450-2afd-4265-a1f4-4c53580b47bc,2.0,4.0,421.0,340.0,3.402287244796753,0.5182033777236938,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,886dc81a-06f7-47dc-bdf6-da1524e86d7d,1.0,2.0,379.0,473.0,4.1215128898620605,0.3931856155395508,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,8a1f4cc3-6e34-4cd2-aba9-0f4d266e7dd9,2.0,4.0,75.0,40.0,8.93202018737793,0.7959651201963425,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,2.0,549.0,558.0,2.153874635696411,0.2206286787986755,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,3.0,549.0,564.0,2.824291229248047,0.3653926253318786,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,2.0,3.0,558.0,564.0,3.608541250228882,0.6259992122650146,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,9258d552-bade-4414-ad62-96fea54df354,2.0,4.0,419.0,536.0,6.931353569030762,1.1075875163078308,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,92d39096-b1d1-4746-9812-474db1f5f049,2.0,4.0,417.0,361.0,4.667031288146973,0.2787806987762451,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,98e974a9-c08e-4066-8930-d627b18f1a89,1.0,2.0,453.0,465.0,3.04032564163208,0.5021439492702484,,,,,,,,,,,,,,
