panel,series,category,estimate,ci_low,ci_high,p_value,q_value,n_or_targets
B,regulator_activity,gse174188_primary|STAT1,1.2853227600953685,0.9603788749738308,1.610266645216906,1.0912993950800102e-14,6.547796370480063e-14,98
B,regulator_activity,gse174188_primary|STAT2,2.182323743129181,1.325600862826093,3.0390466234322693,6.143418325317636e-07,1.8430254975952908e-06,14
B,regulator_activity,gse174188_primary|IRF7,1.2109287565006193,-0.2247760423956057,2.6466335553968445,0.098287520926619,0.1474312813899285,5
B,regulator_activity,gse174188_primary|IRF9,3.446381839465805,2.236607497628673,4.656156181302936,2.476860260199373e-08,8.492092320683566e-08,7
C,regulator_activity,gse174188_primary|E2F1,0.0843664661298491,-0.269486698228625,0.4382196304883234,0.640217317741058,0.6984188920811542,83
C,regulator_activity,gse174188_primary|FOXM1,-0.132697622837725,-0.9358845375547932,0.6704892918793431,0.7460275049715046,0.7784634834485267,16
C,regulator_activity,gse174188_primary|MYC,-0.3555316596463829,-0.5391622524115026,-0.1719010668812633,0.0001491580671746,0.0003254357829265,317
C,regulator_activity,gse174188_primary|MYBL2,-0.1254292182379653,-1.2611856072936862,1.0103271708177557,0.8285991469525991,0.8285991469525991,8
B,regulator_activity,gse174188_internal_nonoverlap|STAT1,1.0905000927531063,0.8426463925489134,1.3383537929572993,8.074312172520138e-18,6.45944973801611e-17,129
B,regulator_activity,gse174188_internal_nonoverlap|STAT2,2.9618546143648667,2.321101625258525,3.602607603471208,1.7028231779037046e-19,2.0433878134844454e-18,19
B,regulator_activity,gse174188_internal_nonoverlap|IRF7,2.196592154220724,0.941394399344812,3.451789909096636,0.0006062259859119,0.0012124519718238,5
B,regulator_activity,gse174188_internal_nonoverlap|IRF9,2.6863533076648323,1.8006107926064092,3.5720958227232558,2.9088745387023286e-09,1.1635498154809313e-08,10
C,regulator_activity,gse174188_internal_nonoverlap|E2F1,0.147988766981057,-0.1222451708788351,0.4182227048409492,0.2830657137749098,0.3774209516998798,109
C,regulator_activity,gse174188_internal_nonoverlap|FOXM1,-0.3834709118626436,-0.9697137909448016,0.2027719672195143,0.1997865320120059,0.2820515746051848,23
C,regulator_activity,gse174188_internal_nonoverlap|MYC,-0.2253662146384061,-0.3694934502107305,-0.0812389790660817,0.0021838384141296,0.0037437229956509,393
C,regulator_activity,gse174188_internal_nonoverlap|MYBL2,-0.7760912802957612,-1.5873354759491742,0.0351529153576518,0.0607845031424468,0.0972552050279149,12
B,regulator_activity,gse135779_childhood|STAT1,1.1380140564628496,0.9127219837512872,1.363306129174412,5.452692050218495e-23,1.3086460920524386e-21,161
B,regulator_activity,gse135779_childhood|STAT2,2.4001804460700447,1.7631449275384132,3.037215964601676,1.660736696766168e-13,7.971536144477607e-13,20
B,regulator_activity,gse135779_childhood|IRF7,1.8489521217533444,0.7702513321693409,2.927652911337348,0.0007829663275844,0.0014454762970789,7
B,regulator_activity,gse135779_childhood|IRF9,2.1617992056979647,1.2598990231050349,3.0636993882908943,2.6610202906104966e-06,7.096054108294657e-06,10
C,regulator_activity,gse135779_childhood|E2F1,-0.0753920364830301,-0.3095490646824216,0.1587649917163613,0.5279634082522323,0.6220333592567167,150
C,regulator_activity,gse135779_childhood|FOXM1,0.173370719617974,-0.3870853686823202,0.7338268079182683,0.544279189349627,0.6220333592567167,26
C,regulator_activity,gse135779_childhood|MYC,-0.2584789674525961,-0.3919742987394374,-0.1249836361657548,0.0001483725376623,0.0003254357829265,470
C,regulator_activity,gse135779_childhood|MYBL2,-0.2795662585493987,-1.0431239996265336,0.4839914825277361,0.4729517835949494,0.5974127792778308,14
D,MSigDB_M5911_NES,gse174188_primary,3.186802649601297,,,0.0001680107526881,0.0001724137931034,54
D,MSigDB_M5911_NES,gse174188_internal_nonoverlap,3.049861281625484,,,0.0001497902935889,0.0001724137931034,68
D,MSigDB_M5911_NES,gse135779_childhood,3.5271419267951707,,,0.0001724137931034,0.0001724137931034,81
E,GSE23307_mean_paired_log2p1_effect,HI1,3.293570512080079,,,not_calculated_n_equals_2,,12
E,GSE23307_mean_paired_log2p1_effect,HI2,3.665668905432541,,,not_calculated_n_equals_2,,12
