replicate,branch,resolution,n_cells,reference_states,observed_clusters,mapped_adjusted_rand_index,mapped_adjusted_mutual_information,majority_mapping_agreement
1,harmony,0.4,120320,2,6,0.929696806592458,0.8630809600618349,0.9987699468085106
1,harmony,0.6,120320,2,6,0.9266075666893083,0.8583790677905816,0.9987117686170213
1,harmony,0.8,120320,2,7,0.9240434385961608,0.8548385195112636,0.9986619015957446
1,unintegrated,0.4,120320,2,7,0.939167798041818,0.8808806840116234,0.9990359042553192
1,unintegrated,0.6,120320,2,9,0.939167798041818,0.8808806840116234,0.9990359042553192
1,unintegrated,0.8,120320,2,10,0.9415246215389776,0.8880191015526688,0.999077460106383
2,harmony,0.4,120320,2,6,0.9566798485561957,0.9042503787089731,0.999251994680851
2,harmony,0.6,120320,2,6,0.9570234522512064,0.9047133859627583,0.9992603058510638
2,harmony,0.8,120320,2,7,0.9555962558490122,0.9020562804851824,0.9992353723404256
2,unintegrated,0.4,120320,2,6,0.9418987551895787,0.8867863666152331,0.9990525265957447
2,unintegrated,0.6,120320,2,8,0.9418987551895787,0.8867863666152331,0.9990525265957447
2,unintegrated,0.8,120320,2,9,0.9418987551895787,0.8867863666152331,0.9990525265957447
3,harmony,0.4,120320,2,6,0.9639149978276812,0.9177680366041764,0.9993849734042554
3,harmony,0.6,120320,2,7,0.9620710343615186,0.9142306962232706,0.9993517287234043
3,harmony,0.8,120320,2,7,0.9501291993375979,0.8927503556394368,0.9991356382978723
3,unintegrated,0.4,120320,2,6,0.9431229135881898,0.8903495132269855,0.999077460106383
3,unintegrated,0.6,120320,2,8,0.9414177840787593,0.8838931083408361,0.9990442154255319
3,unintegrated,0.8,120320,2,10,0.9431782916983139,0.8898482265566918,0.999077460106383
4,harmony,0.4,120320,2,5,0.9627802798805315,0.9164203339245245,0.999360039893617
4,harmony,0.6,120320,2,8,0.9618840927305675,0.9149254931766674,0.9993434175531914
4,harmony,0.8,120320,2,8,0.9545036987885291,0.9019046139280457,0.9992104388297872
4,unintegrated,0.4,120320,2,5,0.9369185849128023,0.8761518805993084,0.9989777260638298
4,unintegrated,0.6,120320,2,8,0.9369185849128023,0.8761518805993084,0.9989777260638298
4,unintegrated,0.8,120320,2,9,0.9374003825017112,0.8772683429588812,0.9989860372340426
5,harmony,0.4,120320,2,6,0.963337889068958,0.916828655195343,0.9993849734042554
5,harmony,0.6,120320,2,7,0.9624536628701867,0.9152487650179741,0.9993683510638298
5,harmony,0.8,120320,2,9,0.9615744238391922,0.9137550428849331,0.9993517287234043
5,unintegrated,0.4,120320,2,7,0.9402756402723168,0.8860581991417549,0.9990525265957447
5,unintegrated,0.6,120320,2,9,0.9402756402723168,0.8860581991417549,0.9990525265957447
5,unintegrated,0.8,120320,2,11,0.9408285603009371,0.8869087612149011,0.9990608377659574
6,harmony,0.4,120320,2,3,0.9567859234305534,0.9049324059434612,0.9992603058510638
6,harmony,0.6,120320,2,6,0.955514886698709,0.9030469446905753,0.9992353723404256
6,harmony,0.8,120320,2,7,0.9509984268317427,0.8955613758014743,0.9991522606382979
6,unintegrated,0.4,120320,2,7,0.9448476823742251,0.891967320220041,0.9991107047872341
6,unintegrated,0.6,120320,2,9,0.9453894486323369,0.8928198571663063,0.9991190159574468
6,unintegrated,0.8,120320,2,12,0.9448476823742251,0.891967320220041,0.9991107047872341
7,harmony,0.4,120320,2,3,0.960078818827093,0.9106523526860336,0.9993267952127659
7,harmony,0.6,120320,2,7,0.9535754076850955,0.8990604693331711,0.9992104388297872
7,harmony,0.8,120320,2,8,0.9545941506694934,0.9010764444110487,0.9992270611702128
7,unintegrated,0.4,120320,2,7,0.939650389662356,0.8824480294697821,0.9990359042553192
7,unintegrated,0.6,120320,2,8,0.939650389662356,0.8824480294697821,0.9990359042553192
7,unintegrated,0.8,120320,2,11,0.9395905590676419,0.882817926630017,0.9990359042553192
8,harmony,0.4,120320,2,6,0.9713452755270359,0.9325328026103747,0.9995096409574468
8,harmony,0.6,120320,2,8,0.9709000706890227,0.9317124557989767,0.999501329787234
8,harmony,0.8,120320,2,8,0.9704560992982891,0.9309186257044224,0.9994930186170212
8,unintegrated,0.4,120320,2,7,0.9376440914373418,0.8780122822793751,0.9989860372340426
8,unintegrated,0.6,120320,2,8,0.9384258430414235,0.8814324524887653,0.9990026595744681
8,unintegrated,0.8,120320,2,10,0.9371640434996686,0.8768844891111339,0.9989777260638298
9,harmony,0.4,120320,2,5,0.9658618416074991,0.9219196739332777,0.9994265292553192
9,harmony,0.6,120320,2,5,0.9653836415271333,0.9210163118066849,0.9994182180851063
9,harmony,0.8,120320,2,6,0.9629994827051799,0.9165656481102501,0.9993766622340425
9,unintegrated,0.4,120320,2,9,0.938058400135101,0.8815011202147568,0.9990192819148936
9,unintegrated,0.6,120320,2,8,0.936643536408904,0.8773899366533578,0.9989943484042553
9,unintegrated,0.8,120320,2,10,0.9386135018830722,0.8823513620500493,0.9990275930851064
10,harmony,0.4,120320,2,6,0.9631645288652932,0.9166159739562687,0.9993849734042554
10,harmony,0.6,120320,2,7,0.9627902525268063,0.9161126940585953,0.9993766622340425
10,harmony,0.8,120320,2,8,0.9548097415702341,0.902019047159011,0.9992353723404256
10,unintegrated,0.4,120320,2,6,0.9399758192228546,0.8844695221981294,0.9990525265957447
10,unintegrated,0.6,120320,2,9,0.9388576133037001,0.8788930871565366,0.9990275930851064
