replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
1,harmony,0.4,B_CONV,119296,119184,0.9987595755736963,0.9989102736051502
1,harmony,0.4,B_ASC,1024,1136,0.8717504332755632,0.982421875
1,harmony,0.6,B_CONV,119296,119177,0.9987009068508306,0.9988515960300429
1,harmony,0.6,B_ASC,1024,1143,0.8664944013781223,0.982421875
1,harmony,0.8,B_CONV,119296,119169,0.9986506080645026,0.9987929184549357
1,harmony,0.8,B_ASC,1024,1151,0.8621575342465754,0.9833984375
1,unintegrated,0.4,B_CONV,119296,119392,0.9990284919850588,0.9999161748927039
1,unintegrated,0.4,B_ASC,1024,928,0.8878143133462283,0.896484375
1,unintegrated,0.6,B_CONV,119296,119392,0.9990284919850588,0.9999161748927039
1,unintegrated,0.6,B_ASC,1024,928,0.8878143133462283,0.896484375
1,unintegrated,0.8,B_CONV,119296,119401,0.9990703829017453,0.9999748524678111
1,unintegrated,0.8,B_ASC,1024,919,0.8919182083739046,0.89453125
2,harmony,0.4,B_CONV,119264,119244,0.999245593005809,0.9995388382076738
2,harmony,0.4,B_ASC,1056,1076,0.918991899189919,0.9668560606060606
2,harmony,0.6,B_CONV,119264,119251,0.9992539940654809,0.9995723772471157
2,harmony,0.6,B_ASC,1056,1069,0.919602529358627,0.9640151515151515
2,harmony,0.8,B_CONV,119264,119250,0.9992288542618375,0.9995556077273947
2,harmony,0.8,B_ASC,1056,1070,0.9170423805229937,0.9630681818181818
2,unintegrated,0.4,B_CONV,119264,119366,0.9990450021780652,0.9999496914408371
2,unintegrated,0.4,B_ASC,1056,954,0.8926553672316384,0.8977272727272727
2,unintegrated,0.6,B_CONV,119264,119366,0.9990450021780652,0.9999496914408371
2,unintegrated,0.6,B_ASC,1056,954,0.8926553672316384,0.8977272727272727
2,unintegrated,0.8,B_CONV,119264,119366,0.9990450021780652,0.9999496914408371
2,unintegrated,0.8,B_ASC,1056,954,0.8926553672316384,0.8977272727272727
3,harmony,0.4,B_CONV,119268,119268,0.9993797409999581,0.9996897742898346
3,harmony,0.4,B_ASC,1052,1052,0.9320477502295684,0.964828897338403
3,harmony,0.6,B_CONV,119268,119262,0.9993462080064374,0.999647851896569
3,harmony,0.6,B_ASC,1052,1058,0.9287020109689214,0.9657794676806084
3,harmony,0.8,B_CONV,119268,119232,0.9991282627282024,0.9994130864942817
3,harmony,0.8,B_ASC,1052,1088,0.9073083778966132,0.967680608365019
3,unintegrated,0.4,B_CONV,119268,119373,0.9990701648572577,0.9999748465640407
3,unintegrated,0.4,B_ASC,1052,947,0.8947867298578199,0.8973384030418251
3,unintegrated,0.6,B_CONV,119268,119361,0.9990366250041885,0.9999077707348157
3,unintegrated,0.6,B_ASC,1052,959,0.8918156161806209,0.9011406844106464
3,unintegrated,0.8,B_CONV,119268,119371,0.9990701570680628,0.9999664620853875
3,unintegrated,0.8,B_ASC,1052,949,0.8948863636363636,0.8982889733840305
4,harmony,0.4,B_CONV,119273,119244,0.9993545520842938,0.9995556412599667
4,harmony,0.4,B_ASC,1047,1076,0.93,0.9770773638968482
4,harmony,0.6,B_CONV,119273,119240,0.9993377816523605,0.9995304888784553
4,harmony,0.6,B_ASC,1047,1080,0.928377153218495,0.9780324737344794
4,harmony,0.8,B_CONV,119273,119224,0.9992036614806867,0.9993963428437282
4,harmony,0.8,B_ASC,1047,1096,0.9151027703306523,0.9780324737344794
4,unintegrated,0.4,B_CONV,119273,119370,0.998969702553965,0.9998910063467843
4,unintegrated,0.4,B_ASC,1047,950,0.8839622641509434,0.894937917860554
4,unintegrated,0.6,B_CONV,119273,119370,0.998969702553965,0.9998910063467843
4,unintegrated,0.6,B_ASC,1047,950,0.8839622641509434,0.894937917860554
4,unintegrated,0.8,B_CONV,119273,119371,0.9989780789559652,0.9998993904739547
4,unintegrated,0.8,B_ASC,1047,949,0.8847969782813976,0.894937917860554
5,harmony,0.4,B_CONV,119289,119281,0.9993798293692697,0.999656296892421
5,harmony,0.4,B_ASC,1031,1039,0.9309701492537313,0.967992240543162
5,harmony,0.6,B_CONV,119289,119275,0.9993630573248408,0.9996227648819254
5,harmony,0.6,B_ASC,1031,1045,0.929368029739777,0.9699321047526673
5,harmony,0.8,B_CONV,119289,119269,0.9993462847181481,0.9995892328714299
5,harmony,0.8,B_ASC,1031,1051,0.9277777777777778,0.9718719689621726
5,unintegrated,0.4,B_CONV,119289,119397,0.9990452261306533,0.9999748509921284
5,unintegrated,0.4,B_ASC,1031,923,0.8897485493230174,0.8923375363724539
5,unintegrated,0.6,B_CONV,119289,119397,0.9990452261306533,0.9999748509921284
5,unintegrated,0.6,B_ASC,1031,923,0.8897485493230174,0.8923375363724539
5,unintegrated,0.8,B_CONV,119289,119396,0.9990535934136802,0.9999748509921284
5,unintegrated,0.8,B_ASC,1031,924,0.8907156673114119,0.8933074684772065
6,harmony,0.4,B_CONV,119278,119249,0.9992540315821236,0.9995053572326833
6,harmony,0.4,B_ASC,1042,1071,0.9191643960036331,0.9712092130518234
6,harmony,0.6,B_CONV,119278,119240,0.9992288671891371,0.9994550545783799
6,harmony,0.6,B_ASC,1042,1080,0.916892502258356,0.974088291746641
6,harmony,0.8,B_CONV,119278,119226,0.9991450340729068,0.9993544492697731
6,harmony,0.8,B_ASC,1042,1094,0.9088471849865952,0.9760076775431862
