replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
9,harmony,0.4,B_CONV,119291,119276,0.9994217134045157,0.9996479197927757
9,harmony,0.4,B_ASC,1029,1044,0.9355742296918768,0.9737609329446064
9,harmony,0.6,B_CONV,119291,119275,0.9994133324393637,0.9996395369306988
9,harmony,0.6,B_ASC,1029,1045,0.9347014925373134,0.9737609329446064
9,harmony,0.8,B_CONV,119291,119270,0.999371427613604,0.999597622620315
9,harmony,0.8,B_ASC,1029,1050,0.9303621169916435,0.9737609329446064
9,unintegrated,0.4,B_CONV,119291,119399,0.9990117584000536,0.9999580856896162
9,unintegrated,0.4,B_ASC,1029,921,0.8858800773694391,0.8901846452866861
9,unintegrated,0.6,B_CONV,119291,119394,0.9989866251266719,0.9999245542413091
9,unintegrated,0.6,B_ASC,1029,926,0.8834296724470135,0.891156462585034
9,unintegrated,0.8,B_CONV,119291,119398,0.9990201251224844,0.9999580856896162
9,unintegrated,0.8,B_ASC,1029,922,0.8868471953578336,0.891156462585034
