"branch","contrast","regulator","matched_targets_before","removed_targets","matched_targets_after","target_retention_fraction","baseline_ulm_slope","method","estimate","standard_error","ci_low","ci_high","direction","p_value","inter_gene_correlation","attenuation_ratio_vs_baseline","q_value","multiplicity_family","expected_direction","ci_excludes_zero"
"baseline","gse174188_primary","STAT1",98,0,98,1,1.28532276009537,"ULM",1.28532276009537,0.165745260993247,0.960378874973831,1.61026664521691,"Up",1.09129939508001e-14,NA,1,6.54779637048006e-14,"frozen_global_24",TRUE,TRUE
"baseline","gse174188_primary","STAT1",98,0,98,1,1.28532276009537,"CAMERA",NA,NA,NA,NA,"Up",0.0175340906527712,0.036212940341357,NA,0.0263011359791569,"baseline_core_6",TRUE,NA
"baseline","gse174188_primary","STAT1",98,0,98,1,1.28532276009537,"FRY",NA,NA,NA,NA,"Up",2.01431808059861e-06,NA,NA,6.04295424179582e-06,"baseline_core_6",TRUE,NA
"frozen_ifn12_depleted","gse174188_primary","STAT1",98,6,92,0.938775510204082,1.28532276009537,"ULM",0.962658859300595,0.171497490212959,0.626437718349468,1.29888000025172,"Up",2.10730680657423e-08,NA,0.748962742423676,3.16096020986134e-08,"frozen_ifn12_depleted_ulm_core_6",TRUE,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT1",98,6,92,0.938775510204082,1.28532276009537,"CAMERA",NA,NA,NA,NA,"Up",0.0187149832681391,0.0224662775163479,NA,0.0280724749022086,"frozen_ifn12_depleted_camera_core_6",TRUE,NA
"frozen_ifn12_depleted","gse174188_primary","STAT1",98,6,92,0.938775510204082,1.28532276009537,"FRY",NA,NA,NA,NA,"Up",7.39134780956235e-06,NA,NA,1.84269254280309e-05,"frozen_ifn12_depleted_fry_core_6",TRUE,NA
"m5911_depleted","gse174188_primary","STAT1",98,21,77,0.785714285714286,1.28532276009537,"ULM",0.418210996980237,0.187701995424266,0.0502208941397627,0.786201099820711,"Up",0.025926843784868,NA,0.325374302832081,0.0311122125418416,"m5911_depleted_ulm_core_6",TRUE,TRUE
"m5911_depleted","gse174188_primary","STAT1",98,21,77,0.785714285714286,1.28532276009537,"CAMERA",NA,NA,NA,NA,"Up",0.0976225277470502,0.01028394411646,NA,0.11714703329646,"m5911_depleted_camera_core_6",TRUE,NA
"m5911_depleted","gse174188_primary","STAT1",98,21,77,0.785714285714286,1.28532276009537,"FRY",NA,NA,NA,NA,"Up",0.0111049689178437,NA,NA,0.0133259627014124,"m5911_depleted_fry_core_6",TRUE,NA
"baseline","gse174188_primary","STAT2",14,0,14,1,2.18232374312918,"ULM",2.18232374312918,0.436991628082524,1.32560086282609,3.03904662343227,"Up",6.14341832531763e-07,NA,1,1.84302549759529e-06,"frozen_global_24",TRUE,TRUE
