branch,resolution,reference_state,median_jaccard,minimum_jaccard,median_recall,minimum_recall
harmony,0.4,B_ASC,0.9303233364573571,0.8717504332755632,0.9722202853022023,0.9647954329210277
harmony,0.4,B_CONV,0.9993629961060673,0.9987595755736964,0.9995975764791671,0.9989102736051502
harmony,0.6,B_ASC,0.92664278906346,0.8664944013781223,0.9732085914723032,0.9640151515151516
harmony,0.6,B_CONV,0.999325228784673,0.9987009068508306,0.9995514187197669,0.9988515960300428
harmony,0.8,B_ASC,0.9163193553991115,0.8621575342465754,0.9738621443893717,0.9630681818181818
harmony,0.8,B_CONV,0.9992289156577621,0.9986506080645026,0.9994717911227671,0.9987929184549356
unintegrated,0.4,B_ASC,0.8889400846274647,0.8839622641509434,0.8951378457047774,0.8900375939849624
unintegrated,0.4,B_CONV,0.999024263695818,0.998969702553965,0.999958075673285,0.999874264447015
unintegrated,0.6,B_ASC,0.888517201213169,0.8834296724470135,0.895444515401193,0.8900375939849624
unintegrated,0.6,B_CONV,0.9990283699196831,0.998969702553965,0.9999455057031499,0.999874264447015
unintegrated,0.8,B_ASC,0.8897359517505148,0.8843984962406015,0.8951378457047774,0.8900375939849624
unintegrated,0.8,B_CONV,0.9990284513008488,0.998969668032066,0.9999496924953559,0.999874264447015
