replicate,reference_state,reference_cells,mapped_cells,intersection,union,false_negative,false_positive,jaccard,recall
1,B_ASC,1024,1136,1006,1154,18,130,0.8717504332755632,0.982421875
1,B_CONV,119296,119184,119166,119314,130,18,0.9987595755736963,0.9989102736051502
2,B_ASC,1056,1076,1021,1111,35,55,0.918991899189919,0.9668560606060606
2,B_CONV,119264,119244,119209,119299,55,35,0.999245593005809,0.9995388382076738
3,B_ASC,1052,1052,1015,1089,37,37,0.9320477502295684,0.964828897338403
3,B_CONV,119268,119268,119231,119305,37,37,0.9993797409999581,0.9996897742898346
4,B_ASC,1047,1076,1023,1100,24,53,0.93,0.9770773638968482
4,B_CONV,119273,119244,119220,119297,53,24,0.9993545520842938,0.9995556412599667
5,B_ASC,1031,1039,998,1072,33,41,0.9309701492537313,0.967992240543162
5,B_CONV,119289,119281,119248,119322,41,33,0.9993798293692697,0.999656296892421
6,B_ASC,1042,1071,1012,1101,30,59,0.9191643960036331,0.9712092130518234
6,B_CONV,119278,119249,119219,119308,59,30,0.9992540315821236,0.9995053572326833
7,B_ASC,1034,1047,1000,1081,34,47,0.9250693802035153,0.9671179883945842
7,B_CONV,119286,119273,119239,119320,47,34,0.9993211532014751,0.9996059889676912
8,B_ASC,1052,1061,1027,1086,25,34,0.9456721915285451,0.9762357414448669
8,B_CONV,119268,119259,119234,119293,34,25,0.999505419429472,0.999714927725794
9,B_ASC,1029,1044,1002,1071,27,42,0.9355742296918768,0.9737609329446064
9,B_CONV,119291,119276,119249,119318,42,27,0.9994217134045157,0.9996479197927757
10,B_ASC,1024,1036,993,1067,31,43,0.9306466729147141,0.9697265625
10,B_CONV,119296,119284,119253,119327,43,31,0.9993798553554518,0.9996395520386266
11,B_ASC,1051,1074,1017,1108,34,57,0.9178700361010831,0.9676498572787822
11,B_CONV,119269,119246,119212,119303,57,34,0.9992372362807306,0.9995220887238092
12,B_ASC,1051,1052,1014,1089,37,38,0.931129476584022,0.9647954329210275
12,B_CONV,119269,119268,119231,119306,38,37,0.9993713643907264,0.9996813924825395
13,B_ASC,1022,1056,995,1083,27,61,0.9187442289935365,0.9735812133072407
13,B_CONV,119298,119264,119237,119325,61,27,0.9992625183322857,0.9994886754178611
14,B_ASC,1029,1038,999,1068,30,39,0.9353932584269663,0.9708454810495627
14,B_CONV,119291,119282,119252,119321,39,30,0.9994217279439496,0.9996730683790059
15,B_ASC,1046,1057,1018,1085,28,39,0.9382488479262673,0.9732313575525813
15,B_CONV,119274,119263,119235,119302,39,28,0.9994384000268227,0.9996730217817797
16,B_ASC,1023,1058,1001,1080,22,57,0.9268518518518518,0.978494623655914
16,B_CONV,119297,119262,119240,119319,57,22,0.9993379093019552,0.9995222008935681
17,B_ASC,1064,1091,1041,1114,23,50,0.9344703770197487,0.9783834586466166
17,B_CONV,119256,119229,119206,119279,50,23,0.9993879895036007,0.9995807338834105
18,B_ASC,1051,1076,1027,1100,24,49,0.9336363636363636,0.9771646051379639
18,B_CONV,119269,119244,119220,119293,49,24,0.9993880613279907,0.999589163990643
19,B_ASC,1037,1063,1010,1090,27,53,0.926605504587156,0.973963355834137
19,B_CONV,119283,119257,119230,119310,53,27,0.9993294778308608,0.9995556785124452
20,B_ASC,1044,1051,1009,1086,35,42,0.929097605893186,0.9664750957854407
20,B_CONV,119276,119269,119234,119311,42,35,0.9993546278214079,0.9996478755156109
