replicate,cells,genes_after_min_cells,selected_hvgs,harmony_iterations,harmony_converged,changed_primary_cells,status_sha256,metrics_sha256,states_sha256,hvg_sha256,assignments_sha256
1,120320,15941,3000,2,True,148,791F9FD7593070DCD41283F99D9524028CDC44D5E143B4121E9107E88F926B83,576F7C380632E7218064BF87C2BE07816D1763D52EAD139D7D2B7B44B83D0C17,970640C60C04376A626A7015F8C4FA8B773624CB17825DB058B6EEABB3C1D3D8,B5327A72B8AAC27ABCCAEC35090EA9B6E782130A02D7D3F6E2A2E827085CB6E3,D36C4D7E27A956B4901E30B349CE2853E31C39059438BA12B5236EFF5F84F071
2,120320,15940,3000,2,True,90,79A2231E2A8A71322ACA0DB2A171D13C19F186677979FED37EB80754CC265799,A447D9EB96C23AFEB1AF04414ECE0E3ECF0FD12174335EB0854DE87FB0FF5EC7,7C23BF94282DD0203308211853D59D2F2BC7B2A35D4D4FB9321294D0AC0D25F1,8E223AEF6A7B39DA5A3D75176CA13165D50A1EA4E8AC70302E1595F778845D47,6319946BFC1283A0FD3E450A8CAA4FCF97867E6B7505CC97B967733BB8BC43FE
3,120320,15924,3000,2,True,74,7EEC35629425FA02972B7245972E035EB91760DC500CD3345C689676AEEDA51B,122634B2DC2E84509BAF15BDEC4020073BC83C58123D23FE4AD094ED5E57A7FE,E4AA544D369235A08C553B2B83BFE8EEEC5A0A0CA18C1BAF97AAD643A82766FF,722F4FC0C2C39BFE46B360EE8B0B35C6E41CDC1B39B06A2B6AFE52285CF929C6,2692BF35D7A5F709B8FF37C8D0DADA59E493DF5F8A377A9E5E1D58A103C55A61
4,120320,15928,3000,2,True,77,82E19A072140846319FD20E9923744907ACEBC7D249AA268336A9D2219D8C47E,797C1E807C29B2E2C759F97F833E3B8E3FFBACC8A4C82F7DD78C34903943E9E7,CCFA203847508B88DE991C42ECD4F1ADB0AA95C7B1648B6CE09469DBF1C3993B,DCCD561513DAC707ED1668982A14B2AB4D2C991AE336A4C9ED223C085DF6E3C3,0691B4BB578E31C629013D60202ACBE1CF5CD88CA516A2472D5F81CDAA74A28B
5,120320,15944,3000,2,True,74,7C1E9354CB96C4BD7BCA2AD4519C8E0B48197E4FCE708C95AD50EB66E83B310E,F7FE5D8C2A6B221EEB6EDB6D04E40929CD6599E548BF1110BBB9F9BD55419DFF,280418C3B3802F70A9E9B70998696AEA3D298BDBEDA8ECE3B81DEA298251F431,2689C7D7389A4BBEB35954BDD5D5E4B51ACE86DEACFE9A19F6A357A455E412E9,324B3CA47FAE89D76DB3D6896E89B4C4916734FBDF49553C241C77BA5DCA7743
6,120320,15941,3000,2,True,89,9FD6FB8D9CF73BE255A1795B1C1F4C3A92ECB008A010C0469E8D3B738D268FD8,61822248D3E36D1D3D1BC2E70926C9B8E3BB87AF73A6C54B256417B0782A79F2,507EBDCE338F1BAA06EE94DBB75C4F29D5060B96E846FE0AC710F84D4004CF48,E9BE73F04ADCB88D1BA0FF8436B34A8A71BD4311C3D8EEBCA35F9D991D5E974F,9DF648FDE6B8BA2C4FC7C85C0E36B3B2431508461160FD67D30EC0748F586F59
7,120320,15953,3000,2,True,81,34085F8FBEC89BEF3FB8E67B5D0DA11BA7AFF41A91B0A8EFDF15B9CBD2DC94E0,D78CE8136CCAAEBE9438512EB5FF2315CFE9E68845ACA78816C49987424E1885,192F35CE1675438CF762E31339F82524F4E128FA942A2463E167518B10449032,75E98817DBF0A092331DDD519DE8E1D7B1A747C8A4F531795D272A9F4830A53A,F61783B4539F8A45B032E83E1FCD4555B305D288A6AA034077E6AC5C1E18F912
8,120320,15921,3000,2,True,59,81F20988E1F00A5414C88E714016D10721C6DE269C2D0FD67ED49AFF09CCF89F,9083853E8D8CDAACFED595754283C14D1F7A62057B0084D1668392ECDE423619,66A4DF1E45A0B7466A52557E7E21FCC6F3832E772EC1BCFA50326FC75BC94B9A,6F291C51D35ABB6CC2656095BF33FD67D501EBAD980BBFD618819F9B074F9F07,531FEC85C35EC2A37F0BA6DDA39F937CD7C1653B7AF7D0AC1AB814723A44F1DC
9,120320,15920,3000,2,True,69,F656948FE378D988C08D8E7CDE90570851B30602DF7B752E05036C61DF41A348,222E85FE121C7D0297D7472FABBFF05252F7397060100119DDC89F927CE04B2C,56B05C02C3AACF2EDBC257601B8FFECA992CCA3AFB06F1364B9E4B4E2C89BA46,6B059195EC89DAF872747D165D562FDCB5D581DE9ACB0DFEC05F47F803F051AC,DEEF60446C6AD7E924D1366113B160D7198C3339691B89C20149C0FFF87DC2DD
10,120320,15929,3000,2,True,74,58398E3C866F7A44A90170C7F24E8DD2B7E29946728C89B7F6D184380FAE2001,5C2EC10631BAA1ED9AA00C12CD76DE050DC43350594134164D9CADCE76B4D101,3AC7F75DC11EE5A8B14BB373C0B6907F79588C90DC2179438BA0F74E0ECD9D51,7341B5DE2D77E41FF0BD80CCBDED3CD209D59D22E8EC93877FEEF3C376DBC2A9,793AE7573A89CA17790009225731C869065D02FFBB6EC3F570059C2B959F1E52
11,120320,15919,3000,2,True,91,0E3A49270B97F9BE58CCFDC90AEC04296331A68439F06FB931D1B5A3AB342736,3535B6853BEC234A6F41E37E5A48BA0AD05132989134860A35C94F36758A9E91,D0EC3E10C403E3D309DA7A594CFCBA70CD2731AA67B5063B4802AC8A1F3DC2F3,91E7DEE5D6321697165A11794343A7BA5E6C2F0782D8112FB6B6622BD67F8D89,6B9E8FD636BF462E9514D07BF411E0437D7223BEF8C8D8B02F550417E9B29C9B
12,120320,15936,3000,2,True,75,5FFAA182FB782CAB0DFC643125C0716DED6C2F1AF401BA64074E90F13053FC12,CD29165B82BB8D764C9B67B250508C6F487ED8063B91668E7FB2B0F69B737C04,EC8A8E77E1280ECA27660E8FB147FB9D3C8E0B20EF9C77BE9A1B582B3AB3A219,EB4DEDFFB4E88AB0513EDB44E640F61D8E9240FB491EABB23EF55EB384738775,0FD82A3080FD884E9E178DF07A6E1D48ED1BAD738DBABB86ABE54F1EB0F78381
