replicate,analysis,relative_path,genes,samples,changed_cells_in_analysis,total_umi,bytes,sha256
1,primary_base,matrix_exports/replicate_001_primary_base_counts.mtx.gz,30172,89,7,59868602,2839864,1586BC59CF57768505C0CEF32BF4153746CB8D54332A766854CDE1A0599F197A
1,validation_nonoverlap,matrix_exports/replicate_001_validation_nonoverlap_counts.mtx.gz,30172,54,16,46124058,1932495,D6206C8E215C9A5975ACBBF50F06E47191B955904CBD65ED537D2C2E3E48E51F
2,primary_base,matrix_exports/replicate_002_primary_base_counts.mtx.gz,30172,89,7,59866663,2839806,7CDC91780C0A3782D8FC1DF177E98A3C802E5C99C8EA4BA02A0493CF106AC315
2,validation_nonoverlap,matrix_exports/replicate_002_validation_nonoverlap_counts.mtx.gz,30172,54,10,46151080,1932953,A139F85D70730D499DFF379FDC1372EAF85FC91E549610A0A1A7D007F696692D
3,primary_base,matrix_exports/replicate_003_primary_base_counts.mtx.gz,30172,89,4,59888716,2840188,527453CC153B61706DFA3AE9B0027E06E042841B0A1925D0680BF3B1483F6D4D
3,validation_nonoverlap,matrix_exports/replicate_003_validation_nonoverlap_counts.mtx.gz,30172,54,14,46162038,1933153,642B824802C3AC1F60542439F5508F701548A48B601703255AB12DAD6881FFFD
4,primary_base,matrix_exports/replicate_004_primary_base_counts.mtx.gz,30172,89,7,59833975,2839406,FE5EEB50DDA5381A77576D9518123CBFD95478CECB67FE73F5F093702C0DCEDE
4,validation_nonoverlap,matrix_exports/replicate_004_validation_nonoverlap_counts.mtx.gz,30172,54,7,46142487,1932931,C8EFC2BEC32355765EDCD5F7AAF80EE0B8A9A7660E8587768C0674708D419628
5,primary_base,matrix_exports/replicate_005_primary_base_counts.mtx.gz,30172,89,3,59874375,2839866,B4A4E52876E8E8278B1826FF5F1A2924434394DD2941DDF90467929D8B10770B
5,validation_nonoverlap,matrix_exports/replicate_005_validation_nonoverlap_counts.mtx.gz,30172,54,3,46158707,1933083,B562C3DC5111E7CB7D9FA22208D3C4688020A31D573885C5EC73DB0E55E24C0B
6,primary_base,matrix_exports/replicate_006_primary_base_counts.mtx.gz,30172,89,4,59869827,2839780,FBC3FF979EAF56541A61F55280E9E93F935036FF6C0DDAE7C661F7159D85B1A1
6,validation_nonoverlap,matrix_exports/replicate_006_validation_nonoverlap_counts.mtx.gz,30172,54,12,46131387,1932947,EF6EDBD9AF2404300C99930731FEF6BB8290F6491E9312774169221421A15BD3
7,primary_base,matrix_exports/replicate_007_primary_base_counts.mtx.gz,30172,89,5,59852852,2839484,E858A7CF0D47316EF7D704C58BC5D8C43558799356C5CB5420CAB244B9458A49
7,validation_nonoverlap,matrix_exports/replicate_007_validation_nonoverlap_counts.mtx.gz,30172,54,8,46144245,1932919,2EF3E1EA2A258471BB0D8C05E0C4C68B09FCF3ECD13FEECE5C9D27B060D3EE26
8,primary_base,matrix_exports/replicate_008_primary_base_counts.mtx.gz,30172,89,8,59866638,2839835,85F387BC97172CE933C123767C914EF78229C454FA82CA8D1BAF9BFEDECA9E3B
8,validation_nonoverlap,matrix_exports/replicate_008_validation_nonoverlap_counts.mtx.gz,30172,54,8,46151842,1932891,68D32C59DF1981C21E7EDFC89AA0BD3E9627C677E9D8E6E4E6954A065E020CBE
9,primary_base,matrix_exports/replicate_009_primary_base_counts.mtx.gz,30172,89,2,59873136,2839833,9102A2990022B998C295DCAA38AD4D672ADC1D5811E24EDBBF975BEBBD879CA1
9,validation_nonoverlap,matrix_exports/replicate_009_validation_nonoverlap_counts.mtx.gz,30172,54,8,46146826,1932978,31D74BB6C748008C956B3F16F0A9AA787F33D989E071985026C37AB6880C40D7
10,primary_base,matrix_exports/replicate_010_primary_base_counts.mtx.gz,30172,89,10,59846893,2839509,66B99A619208761AB12E1105724D39BA849B89C9D2308989B9C9E59CB9CBEA7B
10,validation_nonoverlap,matrix_exports/replicate_010_validation_nonoverlap_counts.mtx.gz,30172,54,9,46142277,1932799,7D332D09ECDEB8176249844390D024E0884B17B541DB596852C9F1BDD368C04B
11,primary_base,matrix_exports/replicate_011_primary_base_counts.mtx.gz,30172,89,5,59857798,2839660,606A94533EC78057A997585F12B5C4A2F7ED040D536B127621D81CE18ED19D5D
11,validation_nonoverlap,matrix_exports/replicate_011_validation_nonoverlap_counts.mtx.gz,30172,54,10,46151506,1932946,097C3786F67CDC27BA2B61D69D5C1B1405B3029912851F20847410A4E0B8E331
12,primary_base,matrix_exports/replicate_012_primary_base_counts.mtx.gz,30172,89,4,59863423,2839672,AC7AC15868CD35C01CF71A135E6C05CF2886BB703FF22600F5CF30446CF1A645
12,validation_nonoverlap,matrix_exports/replicate_012_validation_nonoverlap_counts.mtx.gz,30172,54,9,46162401,1933045,E184CB0E27B7200B9D26F037F98BA9C38003B38981F757AA057777D8263BF3FA
13,primary_base,matrix_exports/replicate_013_primary_base_counts.mtx.gz,30172,89,3,59862612,2839689,C9BE217C254082EE76B78E009956EC5813BB5819D4BB37571E274FB508B99B4B
13,validation_nonoverlap,matrix_exports/replicate_013_validation_nonoverlap_counts.mtx.gz,30172,54,10,46139385,1932885,8BADEDDBC167D3BE754AEDA8110D45C6F35D1CF282996B2944B4853C83B3A5E4
14,primary_base,matrix_exports/replicate_014_primary_base_counts.mtx.gz,30172,89,6,59851015,2839657,8F73B15B35582AFC6F5DA0EA273C970DBA37A8F3C48CA7B69EB915190E0D8AB1
14,validation_nonoverlap,matrix_exports/replicate_014_validation_nonoverlap_counts.mtx.gz,30172,54,7,46143778,1932975,D9C569D425E9B2C393B02DF1053AE80C07E55BF0B49E79B82B998C737533148F
15,primary_base,matrix_exports/replicate_015_primary_base_counts.mtx.gz,30172,89,7,59858842,2839971,5BA0E6F4BADFD72D771DE5435053DA92A73CE57A07E8E396D551BBD396145B32
15,validation_nonoverlap,matrix_exports/replicate_015_validation_nonoverlap_counts.mtx.gz,30172,54,5,46164491,1933111,32E898E60A7C68F0118DBA810616DEA72D9ABF31EEA10AF1AC15BEE37B7280EB
16,primary_base,matrix_exports/replicate_016_primary_base_counts.mtx.gz,30172,89,5,59865370,2839808,AA209674B0ACB648408046AC24B39DEB4D729AA50C1944BDE48AB1109BEAA932
16,validation_nonoverlap,matrix_exports/replicate_016_validation_nonoverlap_counts.mtx.gz,30172,54,12,46132585,1932763,D25ABEFE70F3790EE0199E86F8E0BD7410268762A085A5105FC10BA5D8594696
17,primary_base,matrix_exports/replicate_017_primary_base_counts.mtx.gz,30172,89,6,59868342,2839828,50B55FFFFD0786BB7F3D559AFB62C2D960D5E7794FFAC63F92DE7061304F2C17
17,validation_nonoverlap,matrix_exports/replicate_017_validation_nonoverlap_counts.mtx.gz,30172,54,9,46140207,1932899,B73812A8D9F18D3186C8A52E98B3A1E4EDB3E1F48CCF05E98AA6D114E9E6C243
18,primary_base,matrix_exports/replicate_018_primary_base_counts.mtx.gz,30172,89,12,59851630,2839568,37C1D0F101BE576E97E49F3F499DA19212FF4337B12FC37F72A8667B390B6056
18,validation_nonoverlap,matrix_exports/replicate_018_validation_nonoverlap_counts.mtx.gz,30172,54,8,46152853,1932879,D873E621CAF38490CBA778330C2EE6E5C7596227E74BFB828C2D74AFCAB7948B
19,primary_base,matrix_exports/replicate_019_primary_base_counts.mtx.gz,30172,89,5,59851973,2839618,062A45469A0AFAB82C50B55430B86501B64FE83E85177377AAF3F3B47913D244
19,validation_nonoverlap,matrix_exports/replicate_019_validation_nonoverlap_counts.mtx.gz,30172,54,12,46144881,1932791,DBD84013A08115577CECE03E8B0DDF87AFA1B0E7D875C857C2D580DE327C1B65
20,primary_base,matrix_exports/replicate_020_primary_base_counts.mtx.gz,30172,89,8,59862980,2839820,DCFB0F278D2117E909523F536870D3CC3B5DDE28E283A0025AA25B9964035CC1
20,validation_nonoverlap,matrix_exports/replicate_020_validation_nonoverlap_counts.mtx.gz,30172,54,7,46146309,1933049,A294EDE7518E4BFF3D3BEF6D522F869095B55B9A1E1A10EAB978ADB2CE6C59CE
