replicate,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite
0,primary,is_managed,90,43,47,-0.054809167338366126,0.9466657854686855,0.6357068924688163,1.4097316231646866,0.7873347757236662,True,True
0,validation,is_managed,64,21,43,-0.25833904765136567,0.7723333299091972,0.3723125872283598,1.6021450602280156,0.48772954958007664,True,True
0,flare,is_flare,34,18,16,0.8341567607096527,2.3028713577161746,1.093390736540583,4.850248235108126,0.028168341874469333,True,True
0,validation_nonoverlap,is_managed,53,21,32,-0.5253715309547432,0.591335624060199,0.2708370923681701,1.2911001858169433,0.18726947564638208,True,True
1,primary,is_managed,90,43,47,-0.10977069689527066,0.8960395763983153,0.6014418705888191,1.3349368604584115,0.5894097731714099,True,True
1,validation,is_managed,64,21,43,-0.2976407729871356,0.7425680423412172,0.3669426254683108,1.5027071243160528,0.40790251451393844,True,True
1,flare,is_flare,34,18,16,0.8248665111073692,2.281576179922661,1.0981229994026456,4.740443345255684,0.027044046528516715,True,True
1,validation_nonoverlap,is_managed,53,21,32,-0.5831058243321411,0.5581621182318327,0.26564974063786834,1.172765873894611,0.12373036834360168,True,True
2,primary,is_managed,90,43,47,-0.06465699652239876,0.9373889359060347,0.6290046488940145,1.3969658550283721,0.7507538933098509,True,True
2,validation,is_managed,64,21,43,-0.3161125810206913,0.7289773765306329,0.3487239148629481,1.5238645611739379,0.4007590299700281,True,True
2,flare,is_flare,34,18,16,0.8502731974684863,2.3402861248429843,1.1155296928648946,4.909720629727712,0.024499382078057175,True,True
2,validation_nonoverlap,is_managed,53,21,32,-0.5344429896685143,0.5859956048621359,0.2734273556007218,1.25587598272056,0.16938442542446408,True,True
3,primary,is_managed,90,43,47,-0.07461445566644521,0.9281012415335137,0.6203679186293349,1.3884855884217842,0.7165720033857511,True,True
3,validation,is_managed,64,21,43,-0.3345795782563471,0.7156388932665785,0.33705550097702025,1.5194501323113843,0.3837718444685466,True,True
3,flare,is_flare,34,18,16,0.8905472680944893,2.4364626847840496,1.1558923630736202,5.13572941909558,0.019242644128543988,True,True
3,validation_nonoverlap,is_managed,53,21,32,-0.5794027684935491,0.5602328553840136,0.25590707693911313,1.2264641369273295,0.1472368496852184,True,True
4,primary,is_managed,90,43,47,-0.08558090549900475,0.9179788705110763,0.613879701648416,1.3727204278655527,0.676772869131256,True,True
4,validation,is_managed,64,21,43,-0.3249145818257677,0.7225890732454036,0.3454776878886724,1.5113420839550868,0.3881270534791659,True,True
4,flare,is_flare,34,18,16,0.8668317900795223,2.3793605856112148,1.1257558396081044,5.028938422678724,0.02319346042180403,True,True
4,validation_nonoverlap,is_managed,53,21,32,-0.4933738001619459,0.6105629978571576,0.28975060982550155,1.2865794297269146,0.19450216187159441,True,True
5,primary,is_managed,90,43,47,-0.07798155142012939,0.9249814909810467,0.6192392380182217,1.381680465526869,0.703285751087952,True,True
5,validation,is_managed,64,21,43,-0.23831458643634443,0.7879547722160649,0.37914536387019093,1.637558525628288,0.5231300878455576,True,True
5,flare,is_flare,34,18,16,0.8438261661886859,2.3252467587159447,1.1086271560700431,4.876998059550876,0.025557145589465858,True,True
5,validation_nonoverlap,is_managed,53,21,32,-0.5176971852039751,0.5958911962534671,0.2708815993531429,1.3108543312662193,0.19807385366360164,True,True
6,primary,is_managed,90,43,47,-0.10087827562065722,0.9040430702702399,0.6071829543538435,1.3460421888381167,0.619380157922827,True,True
6,validation,is_managed,64,21,43,-0.2863895349274592,0.7509700299082207,0.3682048998621195,1.5316362873811202,0.43094683940001743,True,True
6,flare,is_flare,34,18,16,0.865034583578181,2.375088223606065,1.1346565629056766,4.971587222363028,0.021722203089486906,True,True
6,validation_nonoverlap,is_managed,53,21,32,-0.5817348513286955,0.5589278682188145,0.26213384628568487,1.1917589670246584,0.13209784892513113,True,True
7,primary,is_managed,90,43,47,-0.05360188229035077,0.9478093710949619,0.6369040325931675,1.4104834605581114,0.7915655347439596,True,True
7,validation,is_managed,64,21,43,-0.3725663802662256,0.6889639164317501,0.3282635787355735,1.4460065291840922,0.32463820593685044,True,True
7,flare,is_flare,34,18,16,0.8869271512066405,2.42765835104612,1.1540707536868473,5.106727685955337,0.019403552413971653,True,True
7,validation_nonoverlap,is_managed,53,21,32,-0.4979808681430713,0.6077565623028603,0.28711683829870377,1.2864729258334768,0.19305682842963523,True,True
