"replicate","analysis","n_samples","effect","se_hc3","ci_low","ci_high","statistic","df","p_value"
0,"primary_base",89,0.836556476435973,0.156481030828288,0.525430264711135,1.14768268816081,5.34605678405811,85,7.44251044920975e-07
1,"primary_base",89,0.836782381665951,0.156444041077265,0.525729715475977,1.14783504785592,5.34876481011304,85,7.35973191097766e-07
2,"primary_base",89,0.836783682718306,0.15647307662099,0.525673286088567,1.14789407934804,5.3477805945183,85,7.38971234055133e-07
3,"primary_base",89,0.844240872052252,0.156039233408416,0.533993071958951,1.15448867214555,5.41043975679207,85,5.70092081964099e-07
4,"primary_base",89,0.844612648084434,0.156051097911793,0.534341258179829,1.15488403798904,5.41241080252985,85,5.65446087823963e-07
5,"primary_base",89,0.836999135001984,0.156466762041201,0.525901293448589,1.14809697655538,5.34937340098843,85,7.34125316591141e-07
6,"primary_base",89,0.836963502799973,0.156453701878388,0.525891628349166,1.14803537725078,5.34959219725302,85,7.33462093916448e-07
7,"primary_base",89,0.839933152278587,0.156499042574734,0.528771128376332,1.15109517618084,5.3670178325691,85,6.82484924390225e-07
8,"primary_base",89,0.836111483862405,0.156488183795802,0.524971050121816,1.14725191760299,5.34296880174308,85,7.53801739030117e-07
9,"primary_base",89,0.836887951554248,0.156471382838642,0.525780922617595,1.1479949804909,5.34850485994154,85,7.36763870988561e-07
10,"primary_base",89,0.840080488603463,0.156490786381789,0.528934880224679,1.15122609698225,5.36824248907491,85,6.79035913374064e-07
11,"primary_base",89,0.839898573136401,0.156467822658174,0.528798622792316,1.15099852348049,5.36786771150562,85,6.80089584168205e-07
12,"primary_base",89,0.840036789921703,0.156454458773023,0.528963410561583,1.15111016928182,5.36920965058842,85,6.76324169903333e-07
13,"primary_base",89,0.839936548580603,0.156469991420826,0.528832286155338,1.15104081100587,5.36803601095364,85,6.79616219464621e-07
14,"primary_base",89,0.840083254588794,0.156480936995537,0.528957229428602,1.15120927974899,5.36859805877027,85,6.78037724319681e-07
15,"primary_base",89,0.840126799260764,0.156456674795899,0.529049013853478,1.15120458466805,5.36970890092562,85,6.74928521387912e-07
16,"primary_base",89,0.837007445006114,0.156459965100661,0.525923117591465,1.14809177242076,5.34965890135291,85,7.33260015027679e-07
17,"primary_base",89,0.836099679048919,0.156479342055816,0.524976825056188,1.14722253304165,5.34319526184281,85,7.53097266933642e-07
18,"primary_base",89,0.840002672599513,0.156438948670902,0.528960131477681,1.15104521372134,5.36952389245859,85,6.75445380786754e-07
19,"primary_base",89,0.839992746435735,0.156476827635715,0.528874891783798,1.15111060108767,5.36816063520457,85,6.79265905268263e-07
20,"primary_base",89,0.840118542335348,0.156452703783714,0.52904865236415,1.15118843230655,5.36979241660637,85,6.7469533011906e-07
0,"validation_nonoverlap",54,1.08624050109214,0.255417464264537,0.573468545179428,1.59901245700485,4.25280434217729,51,9.01319089523746e-05
1,"validation_nonoverlap",54,1.08665602231338,0.255466044491236,0.573786537525995,1.59952550710077,4.25362213783625,51,8.98895189278765e-05
2,"validation_nonoverlap",54,1.08490174195522,0.25551708362492,0.571929791831393,1.59787369207904,4.24590687465646,51,9.22017160765296e-05
3,"validation_nonoverlap",54,1.08374708032941,0.25538184181743,0.571046639463373,1.59644752119545,4.24363405251095,51,9.28938149636943e-05
4,"validation_nonoverlap",54,1.08501928802582,0.255406847222991,0.572268646713412,1.59776992933824,4.24819968541609,51,9.15086097598956e-05
5,"validation_nonoverlap",54,1.08623743095754,0.255414735623211,0.573470953020874,1.59900390889421,4.25283775545341,51,9.01219930073367e-05
6,"validation_nonoverlap",54,1.07011381683735,0.257996270672143,0.552164691033944,1.58806294264076,4.14778792751322,51,0.000127150472968527
7,"validation_nonoverlap",54,1.0840403322498,0.255563877926382,0.570974438645815,1.59710622585378,4.24175881601728,51,9.34686441173117e-05
8,"validation_nonoverlap",54,1.08568379335715,0.255469654786145,0.572807060600296,1.598560526114,4.24975637230176,51,9.10409197455678e-05
9,"validation_nonoverlap",54,1.08503367528166,0.255366953188482,0.57236312458546,1.59770422597786,4.24891968884014,51,9.12920028240624e-05
10,"validation_nonoverlap",54,1.06957289116638,0.258174593219801,0.551265767910417,1.58788001442235,4.14282783533151,51,0.000129222786817714
11,"validation_nonoverlap",54,1.08440965650772,0.255644650813323,0.57118160456683,1.5976377084486,4.2418632780217,51,9.34365319322771e-05
12,"validation_nonoverlap",54,1.08565888119838,0.255743352768055,0.572232676815071,1.59908508558168,4.24511084822997,51,9.24435424998841e-05
13,"validation_nonoverlap",54,1.08358971055981,0.255529110847387,0.570593614779362,1.59658580634026,4.24057246145618,51,9.38340893904747e-05
14,"validation_nonoverlap",54,1.08483578631541,0.255712154788286,0.571472214489956,1.59819935814086,4.24240993633481,51,9.32686610106971e-05
15,"validation_nonoverlap",54,1.05931817157525,0.259587325964774,0.538174868988683,1.58046147416181,4.08077770221725,51,0.000158081507924324
16,"validation_nonoverlap",54,1.07052739233604,0.258082657834593,0.552404837067336,1.58864994760474,4.1480020444541,51,0.00012706174512174
17,"validation_nonoverlap",54,1.06889129675911,0.258119952632677,0.55069386905906,1.58708872445917,4.14106420622285,51,0.000129967491600219
18,"validation_nonoverlap",54,1.08489125469416,0.255639458914853,0.571673625924381,1.59810888346394,4.24383332408598,51,9.28329332236349e-05
19,"validation_nonoverlap",54,1.07074054420564,0.258904605215237,0.5509678607155,1.59051322769578,4.13565661883647,51,0.000132276922129615
20,"validation_nonoverlap",54,1.08507482611241,0.255425535957239,0.572286665600437,1.59786298662439,4.24810629072759,51,9.1536743339037e-05
